Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
07:04:19,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8574145792.0,0.0,0.0,0.0,34094.8,139.714,0.0,0.5,5958.667,0.0
07:14:19,2438858.182,8667.143,142808593.941,242855483.3,606963378.25,510730541.818,27951555.75,450309181275.75,15566679.8,10400467576.0,606859161.5,2985987995.75,12807551488.0,915855.565,0.0,1064120.0,34094.8,36725.143,0.0,13426690.5,7933.667,4383292.048
07:24:19,2629924.545,17235.143,337501647.471,573933207.7,1434431774.25,876237360.364,47474684.5,899413477404.0,31249252.2,16362562216.0,638491144.5,3223278456.5,13030818816.0,953356.478,0.0,1295629.0,34354.0,67878.857,0.0,13426690.5,7951.667,4711718.81
07:34:19,3099910.545,25801.857,436962678.059,743069523.5,1857154561.5,1249921269.636,80613970.25,1348437441318.0,34996145.8,21401544982.833,667437348.75,3470903743.0,13040957440.0,1012514.478,0.0,1391711.333,34354.0,98211.286,0.0,13426690.5,8002.333,5301223.952
07:44:19,3177025.909,34368.286,907475482.294,1543246444.1,3857150858.5,3931274399.727,111018184.5,1797495341324.75,41207168.2,33451984302.333,745582386.5,3903749119.5,13041064192.0,1049331.696,2672.189,1977615.833,1.2297829382473375e+18,134852.571,0.0,13426690.5,8186.0,5649318.905
07:54:19,3419103.182,42933.714,1013742448.176,1969075991.7,4921412574.75,4444202120.273,135629771.25,2246796608666.5,184892673.8,39579051439.833,1436094112.5,6885722092.75,13022063104.0,1090552.609,10804.117,2361236.833,223800.667,167920.143,0.0,13426690.5,8212.0,6493685.238
08:04:19,3521915.273,51498.571,1014377634.882,2422318563.9,6054171137.25,4926277156.364,160245679.75,2695817409826.75,192582288.0,45318304402.333,1480414666.25,7191964210.5,12733238016.0,1139948.652,10804.117,2652269.333,223800.667,201063.0,0.0,13426690.5,8227.0,6745426.286
08:14:19,3618765.727,60065.429,1014845904.176,2699883144.3,6747897316.0,5258899345.455,182555945.75,3144836915240.75,194213066.8,49940222718.833,1503262243.5,7421425716.0,13038985472.0,1179850.043,10804.117,2884885.5,223800.667,231930.714,0.0,13426690.5,8233.0,6897981.381
08:24:19,3706309.545,68634.571,1015238089.824,2885111427.5,7210841881.25,5418712540.091,207764244.25,3593846202706.75,198305846.2,55096145966.0,1531064680.75,7670718347.25,13044537344.0,1223939.826,10804.117,2983794.5,223800.667,262843.143,0.0,13426690.5,8109.333,7063147.238
08:34:19,3904090.364,77200.286,1015840637.765,3304505408.7,8259050445.75,5854174487.182,230410060.25,4042875246257.0,204197774.8,59477563638.0,1566662844.0,8001229968.75,13038924544.0,1272870.0,10804.117,3311291.0,223790.8,296448.429,0.0,13426690.5,7649.333,7488345.429
08:44:19,3991636.909,85768.143,1016452644.882,3717311820.1,9290793434.5,6121522775.909,254047539.5,4491891625860.5,212213379.2,64518023593.167,1627762132.75,8340497510.75,12985942784.0,1315632.87,10804.117,3568008.667,223790.8,329017.857,0.0,13426690.5,7318.0,7781039.143
08:54:19,4071361.091,94333.143,1017261883.882,4219433454.3,10545865181.0,6599851239.0,279877909.75,4940920986374.5,223730960.2,71293241397.0,1685932183.75,8698803287.25,12932493568.0,1360044.391,15379.5,3962518.5,223790.8,362740.0,0.0,13426690.5,7066.333,8128121.429
09:04:19,4365203.909,102901.714,1019017788.588,5217334672.3,13039807478.5,6795500064.909,303733020.75,5390167130978.75,297834849.8,85353925179.333,2100613852.75,10536410507.25,12931835648.0,1412459.913,19928.757,4702389.167,254927.6,401263.0,0.0,13426690.5,7085.0,8921634.333
