Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),Lustre filesystem usage (per mount),Lustre network usage (lnet),Lustre network usage (mdc),Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),Lustre filesystem usage (osc),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
04:25:04,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8576372224.0,0.0,0.0,0.0,0.0,1152775.133,817.429,0.0,0.5,81265.0,0.0
04:35:04,3548964.636,8568.714,0.0,75329991172.4,188172709094.75,675564853844.182,45652643550.25,457930220923.75,131722113117.2,61481588688.833,18159143296.25,165141704552.25,0.818,330078.333,1759.5,8702319104.0,60565.609,0.0,171407.667,824.9,1152775.133,91456.0,0.0,65751042.0,83213.667,3915966.286
04:45:04,3632041.0,17138.429,0.0,153920254571.5,384488861815.5,1355309902915.818,92717049448.75,918530824127.5,263643358716.2,131402924990.333,37148724836.0,336301381163.75,0.818,661134.333,3014.6,8689131264.0,106725.783,0.0,177145.667,1542.2,1152775.133,119738.571,0.0,65751042.0,83186.667,4052906.381
04:55:05,3721080.091,25708.857,0.0,232996308133.6,582018699382.75,2034432556831.0,139340083871.25,1379137523752.0,395587228760.2,203970888057.5,56278535300.25,507645467560.5,0.818,992190.333,3471.0,8690045696.0,138623.826,0.0,183096.667,2320.2,1152775.133,146815.571,0.0,65751042.0,83220.333,4173067.905
05:05:05,3792610.273,34279.714,0.0,312089491689.1,779590774220.25,2713273989673.182,185731736714.25,1839537056639.5,527619004425.0,276282308216.167,75606790464.25,679738279019.0,0.818,1323246.333,4795.5,8689832960.0,173861.261,0.0,189286.0,3143.6,1152775.133,173015.0,0.0,65751042.0,83257.333,4278039.81
05:15:05,3918885.909,42850.857,0.0,391003921444.2,976716607138.75,3392420584970.364,232150645596.25,2297662884772.25,659625979280.2,347084771496.167,94827316243.0,851923128670.5,0.818,1654302.333,6312.5,8690198272.0,216177.261,0.0,195670.333,4013.2,1152775.133,197697.714,0.0,65751042.0,83251.333,4474223.952
05:25:05,3986686.364,51420.857,0.0,469730593795.4,1173372838307.75,4072286096738.727,278777713211.25,2756124976130.5,791614908326.2,419239988685.167,114016705508.25,1023801613707.75,0.818,1985358.333,8083.6,8690153728.0,257986.217,0.0,201387.667,5092.1,1152775.133,224535.286,0.0,65751042.0,83280.333,4569693.619
05:35:05,4096578.909,59991.857,0.0,548980684969.5,1371336972893.5,4751879971432.363,325038885563.0,3214779187734.0,923621270475.4,495159989037.833,133251803189.75,1195831185348.0,0.818,2316414.333,9857.5,8690149120.0,305620.826,0.0,216024.0,6055.9,1152775.133,251429.857,0.0,65751042.0,83269.333,4706306.048
05:45:05,4153950.545,68561.429,0.0,627888983152.6,1568446860027.5,5431728951946.182,371427530671.0,3674445687619.25,1055613429866.2,568579796490.5,152326012667.75,1367639292097.0,0.818,2647470.333,11782.7,8690013952.0,353625.739,0.0,221502.0,6918.8,1152775.133,278826.714,0.0,65751042.0,83286.0,4798801.524
05:55:05,4211324.182,77132.571,0.0,706927111640.5,1765881583754.25,6110486157676.454,417513293814.25,4133950273916.75,1187606350431.6,640790458313.333,171446516919.0,1539469107190.0,0.818,2978526.333,13520.4,8690255616.0,395376.087,0.0,227499.667,8065.4,1152775.133,304597.429,0.0,65751042.0,83230.333,4895324.714
06:05:05,4274654.182,85704.0,0.0,785855288410.4,1961968128340.5,6789699469370.272,463776610023.5,4593490353559.0,1319550298883.4,712707116923.167,190471500207.0,1710448003609.75,0.818,3309582.333,15012.7,8690541824.0,427132.217,0.0,231252.0,9057.1,1152775.133,329168.286,0.0,65751042.0,83235.333,4996223.571
06:15:05,4355495.727,94275.143,0.0,1098097448533.3,2158306542744.0,7468441672293.091,510012434756.25,5047673021536.25,1451515256782.6,783420226482.5,209577959863.0,1881643020080.25,0.818,3640638.333,16613.2,8690197760.0,469299.478,0.0,238185.333,9938.5,1152775.133,354893.714,0.0,65751042.0,83267.333,5106916.81
