Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),Running average power limit,Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
15:24:57,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8561242880.0,0.0,0.0,0.0,551.143,0.0,0.5,6283.667,0.0
15:34:57,3648767.909,8570.714,332415.412,1326351.8,3307916.75,96044351612.0,86238227225.75,212507734795.75,18602256717.2,460302091.667,36394095471.0,249326306808.75,19629130.0,8712118272.0,4770978.13,0.0,240098.0,52975.0,0.0,41484289.0,7687.333,4169082.381
15:44:58,3726626.455,17143.429,496622.471,2018083.0,5032030.75,192611373100.545,175812664778.25,426502743170.0,37549749116.2,641819450.0,72765044096.25,507244075983.0,39619221.667,8710267392.0,4813648.957,0.0,411904.667,82364.571,0.0,44148737.0,7751.333,4473689.667
15:54:58,3812306.273,25716.429,659397.941,2718573.8,6778222.5,289215902345.0,264045519575.75,639837555347.25,56250088834.2,985808291.667,109085741852.5,763314542681.5,1403755306.667,8697070336.0,4849563.826,0.0,564489.333,110652.429,0.0,46342145.0,7727.0,4792086.762
16:04:58,3887932.455,34288.857,826152.176,3436623.8,8568072.0,386212901594.0,351495140753.0,852896786670.0,74757795533.8,1524643041.667,145172384750.0,1018098692310.5,1423571831.0,8711353856.0,4889162.478,0.0,734207.667,139807.571,0.0,49141761.0,7727.0,5086933.286
16:14:58,4033202.727,42861.429,993890.706,4170734.0,10398081.25,482792959516.091,438826607745.5,1065723738869.75,93185932350.0,1804700700.0,181242965935.75,1273142931415.75,1443389375.667,8703257344.0,4949583.957,0.0,892303.333,170262.857,0.0,51251201.0,7737.667,5449812.762
16:24:58,4119260.0,51433.857,1156808.176,4872414.2,12147256.5,579143749928.818,527352101745.75,1279012807617.5,111987013874.6,2247867716.667,217862130690.5,1530160609452.5,1463267842.667,8703897856.0,4978032.174,0.0,1044827.0,198323.286,0.0,52772865.0,7723.667,5731579.667
16:34:58,4217232.909,60006.571,1324614.0,5590503.0,13937194.75,676089648179.727,614897581932.75,1492089038590.0,130579253948.8,2860549054.167,254188778549.75,1785918805345.5,1483100984.333,8705587968.0,5022879.217,0.0,1228720.333,227986.143,0.0,54439937.0,7739.667,6066360.238
16:44:59,4276100.545,68579.0,1491160.647,6322761.6,15762550.5,773037296439.182,701342510197.75,1704864123862.0,148948577542.8,3248613766.667,290387436137.5,2040510822252.75,2847158641.0,8691493888.0,5073437.13,0.0,1379041.333,256482.286,0.0,56301569.0,7755.667,6331566.81
16:54:59,4343905.545,77151.857,1659549.118,7060723.2,17602205.5,869741670169.091,787974464560.0,1917392326235.0,167265902764.2,3551260045.833,326275527156.25,2293976230169.0,2866876134.667,8705890048.0,5118882.087,0.0,1536657.333,285231.0,0.0,57712641.0,7723.333,6602510.667
17:04:59,4416921.182,85724.429,1830219.941,7808817.2,19467066.0,966696713864.636,874535341053.5,2129779988723.0,185478110961.6,4091938612.5,362000369139.5,2546619642719.0,2886558945.667,8702352640.0,5175494.609,0.0,1697098.333,313067.0,0.0,60059649.0,7753.667,6887114.19
17:14:59,4477644.0,94296.714,1998673.529,8548695.2,21311450.0,1063098364417.909,961617674876.0,2342136397636.0,203817392619.6,4298490979.167,397796367708.25,2799427146490.25,2906229765.333,8706908928.0,5222722.609,0.0,1848671.0,342628.429,0.0,61988865.0,7705.667,7153226.19
17:24:59,4556243.545,102869.429,2168549.824,9295672.8,23173562.0,1159474084646.818,1048596736346.25,2554407020551.75,222087728953.2,4532288612.5,433485096813.75,3051970404484.75,4270184051.667,8699358720.0,5272851.435,0.0,2002830.0,372066.286,0.0,64071681.0,7723.0,7434267.333
17:34:59,4627022.0,111442.143,2336928.529,10035608.8,25018103.25,1255657924724.273,1135920525566.75,2766787118055.75,240477217102.4,4672144437.5,469384364860.0,3305402726912.0,4289868728.0,8700311296.0,5308588.348,0.0,2145856.0,400637.857,0.0,65773569.0,7739.333,7697787.952
17:45:00,4689978.727,120014.571,2502344.706,10762307.6,26829742.25,1351918288884.546,1223383222720.5,2979549728700.25,259026569719.4,4906517241.667,505617767012.5,3560387308849.0,4309662829.333,8710361088.0,5347961.391,0.0,2280820.333,430166.143,0.0,67676161.0,7771.333,7941680.667
