Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),Lustre filesystem usage (per mount),Lustre network usage (lnet),Lustre network usage (mdc),Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),Lustre filesystem usage (osc),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
04:25:04,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8577753088.0,0.0,0.0,0.0,0.0,1152775.133,823.714,0.0,0.5,21070.333,0.0
04:35:05,3207389.727,8569.571,0.0,75557858119.1,188741936912.75,662848713594.909,45645230173.25,378526411089.25,131443675307.4,82418776507.333,17323370378.75,159222221018.25,0.818,330299.333,913.4,8703802368.0,47986.739,0.0,172907.0,799.9,1152775.133,88608.429,0.0,65751042.0,23093.333,3614723.095
04:45:05,3275560.455,17141.0,0.0,154739098977.3,386534857125.5,1329725557986.454,92680512939.0,753465551831.0,263042508418.0,171772515309.167,35431674220.75,323716377816.0,0.818,675149.333,1520.0,8692427264.0,80329.261,0.0,180162.333,1651.3,1152775.133,117045.429,0.0,65751042.0,23065.333,3740224.333
04:55:05,3354532.091,25712.571,0.0,234694082559.9,585187323113.5,1996087467385.364,139607214242.0,1127285474588.5,394654952300.6,261262797430.167,53653632685.75,488571006685.75,0.818,1006205.333,2049.0,8693113344.0,126328.739,0.0,185431.667,2255.5,1152775.133,144427.571,0.0,65751042.0,23092.333,3861462.0
05:05:05,3479303.636,34283.286,0.0,587716214248.1,783627007483.5,2662381588332.636,186479800447.75,1501433691392.75,526272215888.6,350522959875.667,71915074350.0,653250820849.0,0.818,1337261.333,2566.1,8692759296.0,172004.609,0.0,189642.667,2923.5,1152775.133,168874.714,0.0,65751042.0,23067.667,4023521.714
05:15:05,3626427.636,42854.143,0.0,666866046144.3,981340872036.0,3328183609820.727,233203224214.5,1875095067795.5,657906522993.0,440905164397.5,90151212154.25,817638635209.25,0.818,1668317.333,3021.7,8693532160.0,221564.826,0.0,198234.333,3718.9,1152775.133,194988.143,0.0,65751042.0,23109.667,4228311.81
05:25:05,3694597.727,51424.286,0.0,745978589935.9,1178961552159.0,3993623406439.182,279830105202.25,2248908795018.25,789531528990.6,531918475604.667,108343102344.75,982209731083.0,0.818,1999373.333,3461.1,8694041344.0,260767.826,0.0,203754.0,4818.6,1152775.133,222422.857,0.0,65751042.0,23089.333,4332717.381
05:35:05,3884173.909,59994.571,0.0,825576430776.5,1377794796686.0,4658599726904.091,326375972259.5,2622225274763.25,921169293977.2,622314376278.833,126560518228.25,1147101201188.75,0.818,2330429.333,3910.7,8694222080.0,301954.913,0.0,217624.667,5888.5,1152775.133,249886.714,0.0,65751042.0,23099.667,4531653.667
05:45:05,3937818.455,68565.857,0.0,904784237622.3,1575653206692.25,5325314780914.818,373153749722.0,2996802076714.5,1052775495212.6,709722519929.667,144659683029.75,1311877232081.0,0.818,2661485.333,4373.3,8694369536.0,340552.609,0.0,221664.0,6854.3,1152775.133,273386.0,0.0,65751042.0,23083.667,4640037.238
05:55:05,3993329.091,77137.143,0.0,984476182383.9,1774721227861.25,5991068848009.546,419840262959.5,3371156296646.5,1184415987703.6,798076868177.833,162827983473.5,1477477007568.5,0.818,2992541.333,4897.6,8694471936.0,379342.652,0.0,227101.333,7811.2,1152775.133,297876.857,0.0,65751042.0,23087.0,4750656.619
06:05:05,4048467.364,85708.0,0.0,1063853107702.3,1973002680203.25,6658805644732.546,466751997945.0,3745757678383.75,1316064109194.8,885551525441.833,180950460309.0,1643294342855.5,0.818,3323597.333,5351.5,8694291712.0,421472.522,0.0,230781.333,8770.4,1152775.133,324670.571,0.0,65751042.0,23067.667,4861955.381
06:15:05,4118505.545,94279.0,0.0,1143467216231.3,2171875801620.75,7326285785965.091,513774056240.75,4120314821658.0,1447726467044.4,973186535668.833,199106592854.75,1809569836331.0,0.818,3654653.333,5820.5,8694241024.0,453682.13,0.0,237338.667,9638.2,1152775.133,351335.429,0.0,65751042.0,23051.667,4978990.238
