Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),Lustre filesystem usage (per mount),Lustre network usage (lnet),Lustre network usage (mdc),Memory usage (per socket),Network device usage (per device),NUMA statistics (per socket),Lustre filesystem usage (osc),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
00:06:35,5038931.091,17142.429,0.0,14365290.5,35892206.5,1377503822655.909,338591723217.0,971139718455.25,327223946549.2,151815528624.333,218179531814.5,928817589274.75,0.0,662112.0,3716.3,9777241856.0,84167.565,93463.333,3015.5,1152471.4,77567.714,0.0,3.5,69644.0,7224629.048
00:07:57,35406938.727,1252411.857,0.0,74985086.7,186889259.75,118106678493949.1,19685777354766.754,72078329491955.25,22125045329921.4,2143224541913.667,16646256546849.75,51285161336098.75,0.0,48387471.0,999952.3,10139712000.0,6886755.217,2543261.667,789524.2,1152472.467,4064807.714,0.0,3.5,77237.667,56431975.571
00:16:35,6034240.909,25714.0,0.0,14786121.7,36940456.75,2067122812034.364,546162632712.75,1486623210695.5,494772294587.0,200499758184.5,358832516113.0,1491851691943.75,0.0,993168.0,5029.4,9777517056.0,247266.391,120554.0,6167.6,1152471.4,103956.0,0.0,3.5,69753.333,8451932.143
00:17:57,35509021.818,1260983.0,0.0,75394940.1,187910351.5,118840957906762.64,19685877607499.0,72527345542885.5,22252778113477.6,2146434968957.5,16646274697880.75,51287635756352.49,0.0,48718527.0,1005589.5,10139754496.0,6930690.565,2554949.667,794829.9,1152472.467,4089844.857,0.0,3.5,77205.667,56554529.905
00:26:35,6116196.364,34285.429,0.0,15213741.5,38005567.0,2754537546732.909,750519120052.75,2009176841697.25,662152794371.6,228589413631.5,497535183880.75,2046512534930.0,0.0,1324224.0,6316.7,9777508864.0,290059.957,148921.0,7310.4,1152471.4,130465.286,0.0,3.5,69705.333,8568898.0
00:27:57,35619294.818,1269554.286,0.0,75814832.7,188956324.25,119575190289758.27,19685952658986.0,72976361147962.5,22380510761972.8,2149646016785.0,16646292745861.0,51290290575293.75,0.0,49049583.0,1010578.0,10139790336.0,6973944.913,2566322.0,799998.9,1152472.467,4113519.571,0.0,3.5,77221.667,56674538.762
00:36:35,6360523.818,42857.0,0.0,15646791.5,39084039.25,3467203296544.818,951879596799.0,2524923097107.75,828949916052.6,275837164653.667,644929430968.0,2606981757893.0,0.0,1655280.0,10873.7,9765503744.0,329811.783,167125.333,8406.8,1152471.4,157400.571,0.0,3.5,69693.333,8979185.095
00:37:57,35710577.727,1278125.429,0.0,76230308.5,189991337.25,120309689924390.81,19686023154023.754,73425376454989.75,22508240816506.8,2152861309763.667,16646310766695.25,51293081978640.75,0.0,49380639.0,1016293.0,10139794432.0,7019744.522,2574536.333,805826.8,1152472.467,4136315.286,0.0,3.5,77205.667,56783759.667
00:46:35,6457009.455,51428.429,0.0,16089154.1,40185629.5,4211830789792.909,1138969045915.75,3045798284978.25,994477637358.2,321745005899.333,793106484395.0,3157173507733.0,0.0,1986336.0,20515.1,9856246528.0,373879.043,272980.0,12303.5,1152471.4,187038.571,0.0,3.5,69727.0,9742890.048
00:47:58,35794037.727,1286696.714,0.0,76642618.3,191018516.5,121044488279833.1,19686090988566.754,73874394271480.98,22635961531159.2,2156076893751.333,16646328667235.75,51295874932002.25,0.0,49711695.0,1022159.5,10139796736.0,7055824.696,2583469.667,811711.4,1152472.467,4158887.857,0.0,3.5,77221.667,56893457.619
00:56:36,6568763.818,59999.857,0.0,16515418.3,41247329.75,4927004532893.272,1331061634288.75,3564322835228.75,1161047807982.0,373237240250.333,940121000990.5,3713550382404.25,0.0,2317392.0,25642.8,9839548672.0,421108.478,298151.667,14915.0,1152471.4,214573.429,0.0,3.5,69711.0,9993543.857
00:57:58,35883091.182,1295268.0,0.0,77057817.7,192052885.75,121779538902718.19,19686161132535.246,74323412106771.75,22763682253780.8,2159298043878.833,16646346779401.5,51298662847363.25,0.0,50042751.0,1027029.9,10139797248.0,7107251.565,2594781.0,816460.8,1152472.467,4182414.857,0.0,3.5,77223.0,57013147.333
01:06:36,7319551.545,68571.571,0.0,16940079.7,42305001.25,5650523139431.728,1518949133341.75,4086396379368.5,1327208396862.2,412153996335.0,1085235637817.0,4267842933785.0,0.0,2648448.0,30752.4,9840393984.0,471249.696,311350.333,15960.1,1152472.467,258201.0,0.0,3.5,69741.667,11138785.762
01:07:58,35969528.727,1303839.429,0.0,77473107.1,193087429.5,122514584389078.27,19686227551693.5,74772434836635.25,22891404368604.2,2162516350897.0,16646364733868.75,51301464446516.75,0.0,50373807.0,1032458.8,10139886592.0,7143151.174,2605288.333,822163.9,1152472.467,4205773.286,0.0,3.5,77205.667,57119390.143
01:16:36,8209610.909,77143.143,0.0,17368487.5,43372006.0,6358254507152.272,1713219613026.0,4605199206909.5,1494071068984.8,458181027229.0,1232022227227.25,4825051192667.5,0.0,2979504.0,34696.0,9750466816.0,521809.348,342913.667,17394.1,1152472.467,286466.714,0.0,3.5,69742.667,12725155.095
01:17:58,36067142.364,1312410.571,0.0,77885771.9,194115480.25,123249556224044.0,19686295211406.0,75221454286953.75,23019125545989.6,2165727800280.833,16646382750559.5,51304264945496.75,0.0,50704863.0,1037786.9,10139849728.0,7182495.0,2616459.667,827677.0,1152472.467,4232530.571,0.0,3.5,77222.0,57233208.952
01:26:36,9043752.0,85714.429,0.0,17801656.9,44450834.75,7056653089915.546,1914071438226.75,5127354964601.25,1661619844179.0,498857723808.833,1374760165176.5,5375588036831.75,0.0,3310560.0,40186.4,9765101824.0,561645.739,410782.667,20975.7,1152472.467,316051.857,0.0,3.5,69772.667,14335918.048
01:27:58,36201256.364,1320981.857,0.0,78304407.7,195158309.0,123984498825012.73,19686364706710.754,75670472217157.25,23146846294380.8,2168935808757.5,16646400530575.0,51307070838253.75,0.0,51035919.0,1041378.4,10139885312.0,7225729.217,2630800.667,831394.4,1152472.467,4256611.429,0.0,3.5,77254.0,57380963.095
01:36:36,9921438.273,94285.857,0.0,18241325.5,45545587.0,7745061551619.454,2115626953919.25,5649334231852.5,1829321901133.2,541815430221.667,1519840756763.75,5927490815423.5,0.0,3641616.0,48865.6,9778833408.0,604553.13,458482.333,21970.5,1152472.467,344260.0,0.0,3.5,69708.667,15695311.143
01:37:58,36282852.182,1329553.286,0.0,78722383.1,196199457.25,124719359634491.73,19686433124386.0,76119492482515.5,23274567703762.8,2172144871898.833,16646418039671.75,51309872175710.0,0.0,51366975.0,1045764.1,10139912704.0,7261387.565,2640271.0,836051.8,1152472.467,4279810.429,0.0,3.5,77206.0,57481367.81
01:46:36,10724254.0,102857.429,0.0,18666218.7,46603851.75,8437148225070.182,2317499689726.5,6171840460365.25,1996978260628.4,582665801433.167,1663772822835.25,6481592819235.25,0.0,3972672.0,56537.2,9779966976.0,647830.391,493164.333,22828.5,1152472.467,372702.571,0.0,3.5,69723.667,16991016.0
01:47:58,36365197.091,1338124.429,0.0,79143540.3,197248506.5,125454234817252.64,19686547473417.754,76568510614736.0,23402288506999.2,2175360321518.667,16646435586846.25,51312664224065.0,0.0,51698031.0,1049439.3,10139940608.0,7294031.652,2648899.333,839803.0,1152472.467,4303035.0,0.0,3.5,77238.0,57586446.143
01:56:36,11438371.273,111429.0,0.0,19094026.9,47669425.0,9096577077283.545,2520012777193.75,6693961184934.5,2164749036917.2,620795259572.5,1807528960077.75,7030892855432.0,0.0,4303728.0,64019.2,9785672192.0,692242.217,534721.0,24910.3,1152472.467,400694.0,0.0,3.5,69692.333,18373483.381
01:57:58,36448281.364,1346695.571,0.0,79561142.5,198288786.25,126189107385294.0,19686693490612.246,77017525192254.0,23530008306628.0,2178572910872.5,16646453538671.5,51315461772560.49,0.0,52029087.0,1054342.4,10139968256.0,7347698.304,2661134.667,844740.2,1152472.467,4327978.143,0.0,3.5,77238.0,57700858.476
02:06:36,11829522.636,120000.429,0.0,19518299.1,48726218.75,9763600975835.273,2721169835474.0,7216176463001.0,2332386938814.6,663667401232.0,1951806432726.5,7584197422592.75,0.0,4634784.0,72117.7,9775830528.0,731393.304,571423.667,26585.8,1152472.467,427708.429,0.0,3.5,69788.333,19183136.095
02:07:58,36527275.0,1355267.143,0.0,79973523.1,199316115.0,126923732781503.1,19686822351702.754,77466553286122.5,23657740087831.4,2181791088770.5,16646471254121.25,51318242827690.0,0.0,52360143.0,1058555.2,10139998208.0,7383100.087,2671089.333,849139.5,1152472.467,4351658.714,0.0,3.5,77254.0,57802562.619
02:16:36,12051165.818,128572.286,0.0,19940633.1,49778186.0,10415409944317.182,2921489618636.0,7739593218224.0,2500072288460.0,696280038361.667,2095830995116.5,8131322711009.5,0.0,4965840.0,79818.1,9779766528.0,898317.478,620951.333,28532.5,1152472.467,454628.286,0.0,3.5,69739.0,19688134.238
02:17:58,36759389.455,1363838.429,0.0,80389914.3,200353367.0,127658066900612.27,19686950157690.0,77915572853470.75,23785473855083.6,2185007255189.667,16646489707764.75,51321375988177.0,0.0,52691199.0,1062576.5,10140028416.0,7538656.478,2686117.0,853401.7,1152472.467,4377199.571,0.0,3.5,77206.0,58032816.476
02:26:36,12212442.455,137143.857,0.0,20361583.9,50826669.0,11078634122088.092,3121343939856.75,8262417185912.75,2667633945486.8,742405879182.833,2242295746861.25,8689650851971.0,0.0,5295015.0,86475.3,9779041280.0,947307.261,643126.667,31197.9,1152472.467,481649.286,0.0,3.5,69793.0,19932285.286
02:27:58,36848429.545,1372409.571,0.0,80807501.9,201393592.25,128392390940548.64,19687088555315.754,78364590966107.02,23913207217998.8,2188227751410.333,16646507492562.75,51324711177644.0,0.0,53022255.0,1065696.9,10140064256.0,7585633.261,2699975.667,856441.2,1152472.467,4403876.857,0.0,3.5,77222.0,58143461.952
02:36:37,12302215.909,145715.429,0.0,20787075.7,51886440.25,11744898001486.818,3321843721088.5,8786706742177.25,2835277930767.0,773873399029.0,2386560682310.75,9244083012306.25,0.0,5626071.0,87532.7,9782776320.0,986452.783,697569.0,38064.4,1152472.467,508603.571,0.0,3.5,69761.0,20301513.714
02:37:58,36929281.545,1380981.0,0.0,81223624.9,202430152.0,129126799415813.19,19687229373486.754,78813608817501.25,24040940507046.4,2191441926348.0,16646525160209.25,51328057294099.0,0.0,53353311.0,1069527.3,10140089856.0,7621331.174,2710610.333,860448.7,1152472.467,4431547.286,0.0,3.5,77206.0,58244639.19
02:46:37,12398319.273,154286.857,0.0,21209365.5,52938293.0,12402029839272.818,3523097263303.5,9307379281942.5,3002825768029.2,817012471245.333,2530889792869.75,9802097219180.0,0.0,5957127.0,88667.8,9782682624.0,1036928.13,717589.0,46207.5,1152472.467,537878.0,0.0,3.5,69729.0,20545276.524
