Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
07:04:19,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8571046400.0,0.0,0.0,0.0,1118483.8,140.857,0.0,0.5,6072.0,0.0
07:14:19,1173113.0,8675.0,325316.941,557340.3,1386906.25,46856820.909,4328143.5,182329585442.25,13566158.4,254921458139.833,7021278.75,59022241.0,8572093952.0,38307.217,0.0,15723.0,1118483.8,28452.429,0.0,0.5,6489.0,1280620.286
07:24:19,1484471.727,17248.429,626532.118,1073069.5,2670593.5,92819931.0,8648456.0,363222048591.0,27081610.2,506537223516.667,14097977.25,120391529.0,8572416256.0,85956.478,0.0,29834.333,1118483.8,55856.429,0.0,0.5,6539.333,1625123.81
07:34:19,2031558.909,25819.143,938353.588,1607076.7,3999701.0,138588083.364,13281472.5,544638243787.0,30623260.4,758084989359.667,20864220.25,181884744.25,8573062400.0,128870.304,8.954730132868714e+17,44288.0,1118483.8,83175.857,0.0,0.5,6545.333,2253609.048
07:44:19,2107178.727,34390.0,1235565.588,2115886.3,5266276.5,187456387.636,18376362.75,724839762104.5,31218157.8,1010146082759.0,26368113.25,245827581.75,8573129728.0,166029.826,8.954730132868714e+17,58895.333,1118483.8,109397.714,0.0,0.5,6609.333,2359800.333
07:54:19,2207384.818,42960.571,1532557.647,2624331.1,6531906.0,236780195.545,23926220.25,904852674986.25,31803161.0,1262560522290.833,32060940.5,315692939.75,8573158144.0,219981.391,8.954730132868714e+17,72327.333,1118484.067,135769.143,0.0,0.5,6557.0,2483828.095
08:04:19,2312059.0,51530.714,1826694.294,3127840.3,7785274.25,283779876.182,29331902.75,1085044767128.75,32468381.0,1514810400384.833,38063503.5,386167835.5,8573172736.0,272756.391,8.059257119581843e+17,86781.333,1118484.067,162138.143,0.0,0.5,6594.333,2620877.19
08:14:19,2386565.182,60101.0,2125765.765,3639872.9,9059783.5,330798214.091,34649063.5,1265136300684.25,33066417.8,1767256347863.833,43672913.5,453545675.75,8573169920.0,316557.609,8.059257119581843e+17,101143.0,1118484.067,188401.429,0.0,0.5,6610.333,2735067.333
08:24:19,2461069.727,68671.571,2452057.412,4198873.3,10450836.5,379240259.364,39746326.0,1445582852609.25,33718966.0,2019745717894.333,49557470.25,519808943.75,8573216512.0,357676.261,8.059257119581843e+17,115949.667,1118484.067,215585.571,0.0,0.5,6606.0,2849833.095
08:34:20,2690864.545,77242.714,2745692.647,4701511.9,11702074.75,426048815.0,45883354.25,1626661744170.25,34417209.4,2272146218362.834,55875739.5,599677461.5,8573272064.0,412637.783,3.581892053147494e+17,140567.667,1118484.067,243328.0,0.0,0.5,6600.333,3112472.571
08:44:20,2764621.273,85813.571,3041760.882,5208371.5,12963713.0,472005795.091,51202864.75,1806559586747.0,35009326.2,2524583022518.334,61331214.5,669220352.75,8573344256.0,452427.261,3.581892053147494e+17,155011.333,1118484.067,268975.286,0.0,0.5,6600.667,3228329.238
08:54:20,2867799.273,94384.429,3341544.647,5721656.7,14241254.5,518149110.455,56573776.0,1986763814600.25,38585480.2,2776727592118.334,67238554.75,737387405.25,8573506816.0,500551.522,3.581892053147494e+17,169453.667,1118484.067,295308.429,0.0,0.5,6623.0,3349913.952
09:04:20,2998545.364,102955.0,3645307.882,6241706.1,15535713.25,564452140.455,62500210.5,2167296340922.5,51861277.6,3028575453533.0,73677497.0,813512961.25,8573554176.0,554087.609,9.850203146155585e+17,186694.0,1118484.067,322205.714,0.0,0.5,6611.333,3531328.238
