Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),Running average power limit,Memory usage (per socket),Network device usage (per device),NUMA statistics (per socket),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
00:04:42,7944735.545,332119.714,0.0,25110608.3,62613018.0,291592549766979.4,288154597213977.5,298612241605694.25,226856733773581.0,93972544218649.66,215022889317952.75,34682851223332.754,24296878563.667,9528845568.0,1607683.913,2515468.667,1167038.0,1093494.714,0.0,3.5,9521.0,18506845.476
00:14:42,8015143.818,340691.143,0.0,25535010.7,63670189.0,291893471848501.2,288368321949072.25,299143395201259.5,226911710810682.8,93974049665327.83,215131939792230.5,35197041222705.0,24335801927.0,9526356736.0,1642023.826,2542228.0,1167038.0,1121182.143,0.0,3.5,9538.333,18630777.857
00:24:42,8072891.182,349262.286,0.0,25955447.5,64717510.5,292157734913636.06,288552318059421.0,299676032006574.5,226963086543007.4,93974257680503.02,215257288692691.75,35716390324294.75,24374696364.667,9525148672.0,1689492.043,2553042.333,1167038.0,1147201.571,0.0,3.5,9521.0,18752729.762
00:34:42,8139945.455,357833.571,0.0,26378096.9,65770323.0,292433874610084.4,288763335814346.25,300206813100691.25,227016401339310.8,93974680355575.83,215383203797442.25,36254070207847.0,24413146231.333,9525553152.0,1730497.348,2581065.0,1167038.0,1174536.286,0.0,3.5,9521.0,18876360.905
00:44:42,8210350.727,366404.857,0.0,26797525.9,66815149.25,292705631104729.25,288989054503285.75,300734287046994.0,227070452845073.8,93975251245041.83,215522109371587.75,36823223270225.0,25795533163.333,9524226560.0,1774872.13,2604806.333,1167038.0,1200160.0,0.0,3.5,9553.0,18994241.095
00:54:42,8284482.091,374976.143,0.0,27218320.1,67863359.5,292985639488669.75,289225832539551.25,301263095913261.75,227125303403241.97,93975830664986.17,215651309880959.5,37377958359445.51,25833599046.0,9523852544.0,1812461.391,2632512.333,1167038.0,1225701.143,0.0,3.5,9585.0,19108747.952
01:04:42,8358613.182,383547.286,0.0,27640779.7,68915720.25,293259199709928.94,289449251181541.75,301791358282414.75,227179229674361.8,93976415490150.83,215787177094963.0,37940536992997.51,27216049184.333,9523177472.0,1854230.652,2660528.0,1167038.0,1252712.857,0.0,3.5,9553.0,19237926.667
01:14:42,8418220.0,392118.571,0.0,28061111.3,69962784.25,293542746502586.44,289686789709742.0,302320667420424.75,227234216520113.0,93976958939686.34,215913967441253.0,38491249812934.25,28598457312.333,9522129152.0,1891201.522,2684639.333,1167038.0,1279199.143,0.0,3.5,9553.0,19372711.286
01:24:42,8501291.545,400689.857,0.0,28479735.9,71005621.5,293824721340798.44,289922895039637.75,302850371158312.5,227289247814366.4,93977396948579.02,216041052038884.25,39041341981276.25,28636776178.0,9520381696.0,1938904.087,2710109.667,1167038.0,1306032.143,0.0,3.5,9569.0,19501183.714
01:34:42,8588829.636,409261.143,0.0,28903942.1,72062321.75,294094026376488.6,290140319407524.75,303380737585860.75,227342366254441.4,93977899932039.33,216172567328368.5,39587298922651.0,28675111990.667,9518755328.0,1983790.043,2737676.0,1167038.0,1333578.143,0.0,3.5,9553.0,19632062.667
