Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),intel_hsw_cbo,intel_hsw_hau,intel_hsw_imc,intel_hsw_pcu,intel_hsw_qpi,intel_hsw_r2pci,intel_rapl,Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
13:17:39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8590384512.0,0.0,0.0,0.0,798.0,0.0,0.0,6778.0,0.0
13:27:39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8590384512.0,0.0,0.0,0.0,798.0,0.0,0.0,6778.0,0.0
13:37:39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8590384512.0,0.0,0.0,0.0,798.0,0.0,0.0,6778.0,0.0
13:47:39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8590384512.0,0.0,0.0,0.0,798.0,0.0,0.0,6778.0,0.0
13:57:39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8590384512.0,0.0,0.0,0.0,798.0,0.0,0.0,6778.0,0.0
14:07:39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8590384512.0,0.0,0.0,0.0,798.0,0.0,0.0,6778.0,0.0
14:17:39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8590384512.0,0.0,0.0,0.0,798.0,0.0,0.0,6778.0,0.0
14:27:39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8590384512.0,0.0,0.0,0.0,798.0,0.0,0.0,6778.0,0.0
13:17:39,3436257.5,8566.166666666666,0.0,123287479.0,307862029.0,182441377590.08334,89064473921.625,451250385104.25,11251673154.875,47868142507.0,71361856185.0,342730196426.5,31494694.5,12043164672.0,10670301.0,110669.5,2358029.5,680000.0,0.0,65751042.0,9613.0,4983689.0
13:27:39,3436257.5,8566.166666666666,0.0,123287479.0,307862029.0,182441377590.08334,89064473921.625,451250385104.25,11251673154.875,47868142507.0,71361856185.0,342730196426.5,31494694.5,12043164672.0,10670301.0,110669.5,2358029.5,680000.0,0.0,65751042.0,9613.0,4983689.0
13:37:39,3436257.5,8566.166666666666,0.0,123287479.0,307862029.0,182441377590.08334,89064473921.625,451250385104.25,11251673154.875,47868142507.0,71361856185.0,342730196426.5,31494694.5,12043164672.0,10670301.0,110669.5,2358029.5,680000.0,0.0,65751042.0,9613.0,4983689.0
13:47:39,3436257.5,8566.166666666666,0.0,123287479.0,307862029.0,182441377590.08334,89064473921.625,451250385104.25,11251673154.875,47868142507.0,71361856185.0,342730196426.5,31494694.5,12043164672.0,10670301.0,110669.5,2358029.5,680000.0,0.0,65751042.0,9613.0,4983689.0
13:57:39,3436257.5,8566.166666666666,0.0,123287479.0,307862029.0,182441377590.08334,89064473921.625,451250385104.25,11251673154.875,47868142507.0,71361856185.0,342730196426.5,31494694.5,12043164672.0,10670301.0,110669.5,2358029.5,680000.0,0.0,65751042.0,9613.0,4983689.0
14:07:39,3436257.5,8566.166666666666,0.0,123287479.0,307862029.0,182441377590.08334,89064473921.625,451250385104.25,11251673154.875,47868142507.0,71361856185.0,342730196426.5,31494694.5,12043164672.0,10670301.0,110669.5,2358029.5,680000.0,0.0,65751042.0,9613.0,4983689.0
14:17:39,3436257.5,8566.166666666666,0.0,123287479.0,307862029.0,182441377590.08334,89064473921.625,451250385104.25,11251673154.875,47868142507.0,71361856185.0,342730196426.5,31494694.5,12043164672.0,10670301.0,110669.5,2358029.5,680000.0,0.0,65751042.0,9613.0,4983689.0
14:27:39,3436257.5,8566.166666666666,0.0,123287479.0,307862029.0,182441377590.08334,89064473921.625,451250385104.25,11251673154.875,47868142507.0,71361856185.0,342730196426.5,31494694.5,12043164672.0,10670301.0,110669.5,2358029.5,680000.0,0.0,65751042.0,9613.0,4983689.0
13:17:39,3519134.5,17137.458333333332,0.0,123726535.0,308955751.0,382515455413.25,185601859427.75,901887181052.25,23532710143.875,91657471967.5,150402218697.5,719173742924.0,64967599.0,12013452416.0,10785199.6,110669.5,2373094.5,714679.0,0.0,65751042.0,9580.0,5109190.0
13:27:39,3519134.5,17137.458333333332,0.0,123726535.0,308955751.0,382515455413.25,185601859427.75,901887181052.25,23532710143.875,91657471967.5,150402218697.5,719173742924.0,64967599.0,12013452416.0,10785199.6,110669.5,2373094.5,714679.0,0.0,65751042.0,9580.0,5109190.0
13:37:39,3519134.5,17137.458333333332,0.0,123726535.0,308955751.0,382515455413.25,185601859427.75,901887181052.25,23532710143.875,91657471967.5,150402218697.5,719173742924.0,64967599.0,12013452416.0,10785199.6,110669.5,2373094.5,714679.0,0.0,65751042.0,9580.0,5109190.0
13:47:39,3519134.5,17137.458333333332,0.0,123726535.0,308955751.0,382515455413.25,185601859427.75,901887181052.25,23532710143.875,91657471967.5,150402218697.5,719173742924.0,64967599.0,12013452416.0,10785199.6,110669.5,2373094.5,714679.0,0.0,65751042.0,9580.0,5109190.0
13:57:39,3519134.5,17137.458333333332,0.0,123726535.0,308955751.0,382515455413.25,185601859427.75,901887181052.25,23532710143.875,91657471967.5,150402218697.5,719173742924.0,64967599.0,12013452416.0,10785199.6,110669.5,2373094.5,714679.0,0.0,65751042.0,9580.0,5109190.0
14:07:39,3519134.5,17137.458333333332,0.0,123726535.0,308955751.0,382515455413.25,185601859427.75,901887181052.25,23532710143.875,91657471967.5,150402218697.5,719173742924.0,64967599.0,12013452416.0,10785199.6,110669.5,2373094.5,714679.0,0.0,65751042.0,9580.0,5109190.0
