Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),intel_rapl,Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
07:04:19,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8571433728.0,0.0,0.0,0.0,139.714,0.0,0.5,6040.0,0.0
07:14:19,1241636.545,8671.286,328900.235,563518.5,1402155.0,51976139.727,7007229.75,182550278163.25,13401426.4,254762512162.0,6191698.75,77178190.0,6602563.667,8572583680.0,38073.13,0.0,14822.333,28880.286,0.0,0.5,6538.667,1275972.286
07:24:19,1532526.818,17242.571,634165.529,1086246.5,2703119.5,114800008.909,13628309.5,362912531644.75,26614981.2,505576958773.167,12564899.5,148563111.5,13125433.333,8572892160.0,79173.565,0.0,27999.667,55995.0,0.0,0.5,6557.0,1631288.333
07:34:19,2100467.545,25812.571,950301.706,1627715.3,4050680.0,175331946.545,20366161.5,543184073282.0,27463199.6,756209314450.333,19075557.25,220271097.25,19654507.0,8573923840.0,135194.478,9.850203146155585e+17,42640.333,83749.0,0.0,0.5,6611.0,2273267.81
07:44:19,2179450.455,34382.571,1255837.706,2150926.3,5352772.5,242610126.455,26072184.0,723259381229.0,28079855.0,1006994895905.0,25209241.25,289366766.75,26180021.0,8573981696.0,178713.348,9.850203146155585e+17,56629.667,110586.714,0.0,0.5,6595.0,2385510.429
07:54:19,2291574.455,42952.143,1556753.0,2666156.5,6635151.75,303963389.545,31986349.0,903577344204.25,28730581.8,1258566272429.833,30888139.5,361973403.75,32694220.0,8574007552.0,226076.13,9.850203146155585e+17,70588.667,137153.286,0.0,0.5,6575.667,2517882.333
08:04:19,2411150.455,51522.0,1853227.235,3173689.9,7898454.0,365054076.091,38402463.25,1083631899444.0,29381556.6,1510541503773.333,36424472.25,441936057.25,39210435.0,8574043392.0,272227.522,9.850203146155585e+17,84588.0,164286.857,0.0,0.5,6596.0,2649047.81
08:14:19,2496835.455,60091.857,2159109.059,3697505.7,9202050.5,429026697.818,44698658.25,1265316496239.25,30001069.6,1762707436455.833,41969260.75,522992561.5,45751872.0,8574068224.0,306157.522,9.850203146155585e+17,98761.0,191764.0,0.0,0.5,6612.333,2767986.333
08:24:19,2578420.545,68661.714,2487449.235,4260038.5,10601826.5,491496854.364,51646359.25,1446087314914.75,30642800.4,2014470120916.0,47616465.25,594142769.25,52270321.0,8574095360.0,343542.174,9.850203146155585e+17,112370.0,219579.286,0.0,0.5,6544.0,2886850.238
08:34:19,2829455.091,77231.143,2788554.706,4775588.1,11884936.0,556340613.545,58635931.75,1628591971907.25,31369805.0,2266146250978.166,53763766.75,675990953.75,58809102.333,8574151424.0,401397.609,5.3728380797212365e+17,134531.0,248013.0,0.0,0.5,6586.333,3162515.333
08:44:19,2913652.636,85801.0,3085731.059,5284350.9,13151274.0,618404187.364,64806191.25,1808983667677.75,32003940.8,2518491045437.334,59261084.5,751642364.75,65324081.667,8574146560.0,448139.739,5.3728380797212365e+17,147873.667,275070.429,0.0,0.5,6602.333,3274561.238
08:54:19,3022056.364,94370.714,3385169.235,5797001.7,14427260.75,681814395.273,71129128.25,1989516085741.0,38128709.8,2770470543132.666,65021413.0,825301181.25,71839046.0,8574334464.0,492426.826,5.3728380797212365e+17,161059.667,302200.143,0.0,0.5,6609.667,3403421.952
