Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),intel_rapl,Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
07:09:35,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8577143552.0,0.0,0.0,0.0,149.857,0.0,0.5,7368.0,0.0
07:19:35,7809925.364,8570.429,1664.412,3094794.5,7722680.0,286766577089.091,63050695200.0,402060256478.5,12776984068.6,97779386681.667,38318268598.25,278021906575.75,1376667890.667,11023284992.0,46435.565,0.0,23590108.333,425584.857,0.0,11.0,10234.0,32118822.19
07:29:35,8461685.182,17141.429,2209.529,3561797.1,8885384.5,579098806492.364,118855503548.5,783754314169.0,21338610834.8,188959879358.833,77541942192.75,563988795365.25,1408612295.667,11021666048.0,85183.565,0.0,52865345.667,971759.286,0.0,11.0,10302.667,57031984.667
07:39:35,8616279.727,25712.286,2757.941,4023015.3,10033708.25,874957486286.818,172686205487.25,1167818420315.25,29864464365.8,280325335786.333,116522300154.0,843583653641.0,1440541801.333,11018526208.0,126471.0,0.0,88045061.667,1526058.0,0.0,11.0,10253.333,86812404.143
07:49:35,8734380.636,34283.0,3275.0,4476209.7,11162211.75,1175785741056.546,226348764938.75,1557773052725.0,38736598090.4,372241285902.167,157147179897.25,1124403544463.25,2816910252.333,11014605312.0,170584.217,0.0,130248892.0,2129623.714,0.0,11.0,10237.333,125782459.952
07:59:35,8886368.091,42853.714,3795.353,4927114.5,12285021.0,1469236236332.454,281890501105.25,1941111047559.25,47309815101.2,463479753213.0,196629101544.25,1408375134926.75,4193165207.0,11014613248.0,215915.696,0.0,164983603.333,2681853.429,0.0,11.0,10237.333,155483739.524
08:09:35,8983241.818,51424.571,4313.059,5383678.1,13421864.0,1762747121111.182,337248361440.5,2324758902366.0,55904693981.8,554744951753.333,236096787527.75,1692798796577.0,4225145069.0,11012021504.0,251695.217,0.0,199449838.0,3229795.286,0.0,11.0,10254.333,184977383.667
08:19:35,9107662.545,59995.286,4819.471,5832844.9,14540383.75,2056323641019.182,391749734713.25,2708541256241.25,64417890112.8,645787097198.833,275169829399.5,1973314028937.25,4257091935.667,11010401792.0,292962.783,0.0,235099385.667,3778312.429,0.0,11.0,10222.333,215265545.524
08:29:35,9192236.455,68566.0,5343.765,6284998.1,15666277.5,2349113735823.818,448434085832.0,3090135538462.5,72930710656.4,736772679003.833,314158213829.0,2260124018065.75,4289057270.0,11011350016.0,334195.913,0.0,267649422.667,4306722.286,0.0,11.0,10254.333,242183514.048
08:39:35,9326352.182,77136.714,5865.941,6737440.3,16792882.5,2641128753407.364,503757947232.0,3472485495809.5,81406018500.4,828118203187.833,353060140335.25,2544478729894.0,5665293142.667,11007689216.0,368764.435,0.0,300553793.333,4846256.857,0.0,11.0,10239.0,269650898.0
08:49:35,9446688.545,85707.429,6379.294,7196184.5,17935156.25,2933046997967.454,559963656856.5,3854039952118.75,89849554728.4,919098922518.0,391875120212.75,2828605091278.5,5697222248.333,11009130240.0,411883.174,0.0,333512946.667,5369935.143,0.0,11.0,10255.0,296673020.524
08:59:35,9602400.364,94278.143,6901.235,7649711.7,19064464.75,3227555862979.273,615255662864.0,4237693626279.0,98431097643.6,1010593970215.333,431326730589.25,3113021106963.75,5729198775.0,11006662400.0,446536.0,0.0,368380638.667,5922745.429,0.0,11.0,10271.0,326756516.333
09:09:35,9723850.364,102848.714,7436.471,8102473.1,20191832.25,3516767475922.182,671352739943.75,4617750337168.0,106738472104.4,1101373072008.0,469552790066.5,3396550278444.0,7105354203.0,11001602304.0,495064.348,0.0,399859845.333,6436996.857,0.0,11.0,10287.0,351053920.667
09:19:35,10238925.818,111419.429,7983.059,8557311.5,21324324.25,3805556747330.546,728595922945.75,4997064405541.0,115128089682.4,1192502966525.667,507919830825.0,3685195213262.0,7137261718.333,11001713920.0,639778.826,0.0,428940497.0,6937961.857,0.0,11.0,10387.333,373606668.048
09:29:35,10749653.455,119990.143,8512.941,9007698.5,22445829.0,4096251240180.818,784834470642.25,5378607108379.25,123479840311.0,1283262962332.833,546451285004.75,3969070535002.25,7169180591.0,11001921536.0,687563.087,0.0,461324425.0,7457602.0,0.0,11.0,10371.333,399959279.524
09:39:35,10909461.364,128560.857,9053.529,9465080.5,23584648.0,4386295305763.0,841419787953.0,5759792389587.25,131964693315.0,1374660997709.833,585316308032.5,4256533375858.0,8545403879.0,10992817664.0,723545.435,0.0,493031254.0,7986172.571,0.0,11.0,10387.333,425184119.286
09:49:35,11027925.545,137131.571,9608.118,9924379.3,24728181.75,4676116436191.546,898794769846.5,6139835205186.5,140326352744.2,1465395653173.833,623806093467.75,4542828440343.75,9921591867.667,10991589376.0,764483.783,0.0,524010719.0,8492801.429,0.0,11.0,10387.333,449268419.143
09:59:35,11158673.818,145702.286,10141.0,10385367.5,25875979.0,4965395450273.182,955319573635.25,6520277307959.0,148731618647.4,1556403441409.667,662312324859.0,4828246392197.5,9953495377.0,10990913280.0,796271.217,0.0,555519527.667,9007214.286,0.0,11.0,10387.333,473685758.381
10:09:35,11284579.818,154273.143,10690.647,10847071.7,27025504.75,5252584819777.454,1013200744639.0,6899058769696.75,157132359661.8,1647335684958.333,701003628871.25,5117277647505.75,9985409161.667,10987556352.0,835127.652,0.0,584566145.0,9513121.143,0.0,11.0,10419.333,495542087.286
10:19:35,11425384.091,162843.857,11225.824,11299704.3,28152565.25,5541144585158.637,1070514452336.0,7278456989786.75,165495407078.6,1738142639369.833,739163289836.25,5403763588545.5,11361562849.667,10986759424.0,876691.957,0.0,614818437.667,10016752.286,0.0,11.0,10421.333,518349595.143
10:29:35,11738612.0,171414.429,11746.706,11753381.3,29282267.0,5828539997319.728,1127981509224.75,7656815526347.0,173872089615.6,1828925194994.333,777452441874.0,5692682351284.0,11393454038.333,10986055936.0,924866.217,0.0,643334833.0,10516866.286,0.0,11.0,10419.667,539680305.81
10:39:35,13286049.182,179985.143,12265.588,12205291.3,30407579.0,6116198685514.0,1185763249467.75,8035676466038.25,182220267733.2,1919767803907.0,815847417561.0,5980064160703.25,11425349295.667,10986171648.0,962990.522,0.0,673205598.333,11017422.429,0.0,11.0,17751.667,563660542.286
10:49:36,13424251.182,188556.0,12791.353,12660414.3,31540849.75,6404114862830.454,1242934746484.0,8415150302893.0,190587251658.2,2010634208332.0,854044211921.5,6266364345677.5,11457232702.333,10986605568.0,996593.087,0.0,703146446.667,11518638.857,0.0,11.0,17751.667,586070946.619
10:59:36,13519256.727,197126.714,13313.588,13110786.5,32662341.25,6691745930635.091,1301352254328.75,8793294353208.25,199053202640.6,2101809299206.5,892446525359.5,6557342211089.75,12833400123.0,10985839616.0,1046282.696,0.0,731279232.667,12015118.286,0.0,11.0,17751.667,606751592.286
11:09:36,13653360.636,205697.429,13838.235,13557294.1,33774236.25,6979651667952.272,1358786521095.5,9172508474304.0,207373554697.0,2192450351770.333,930666513318.25,6843912516066.5,12865286189.333,10986333696.0,1086279.565,0.0,761122149.0,12513143.714,0.0,11.0,17751.667,629170494.714
11:19:36,13771448.909,214268.143,14349.765,14001419.5,34880260.0,7267276865648.454,1416297894398.25,9550513511248.25,215734894021.4,2283002026087.834,968668220916.75,7131255945422.0,12897153352.333,10986417664.0,1125157.522,0.0,790389774.0,13006576.429,0.0,11.0,17751.667,650695377.714
11:29:36,13899965.818,222838.857,14877.235,14452405.5,36003262.25,7553616025394.637,1473838532399.75,9927728392704.25,224108489364.4,2373714508996.0,1007153151553.0,7419890143013.25,14273320316.333,10987195648.0,1170874.783,0.0,818887014.333,13509916.714,0.0,11.0,17767.667,671567278.857
11:39:36,14012096.818,231409.571,15435.412,14910266.1,37143238.5,7841020162848.182,1531541077644.5,10305886751099.0,232431503291.6,2464376324212.166,1045189170581.0,7706984465333.25,15649450994.0,10982397696.0,1213011.913,0.0,847935694.333,14001700.429,0.0,11.0,17767.667,692793632.143
11:49:36,14993038.545,239980.286,15952.824,15358338.9,38259030.0,8128729461810.454,1588952423110.0,10683217369402.0,240795277054.0,2554699791956.834,1083148624942.0,7993835209426.25,15681299748.0,10981651456.0,1246973.087,0.0,877161821.0,14495092.286,0.0,11.0,17751.667,715279556.81
11:59:36,15324917.455,248551.143,16481.765,15806150.1,39374156.5,8415653396484.728,1646831914909.25,11060276012055.0,249228735090.6,2645504041492.334,1121667473049.25,8282923540690.75,15713175039.667,10978078464.0,1292671.783,0.0,905324078.333,14991748.0,0.0,11.0,17783.667,736201336.857
12:09:36,15463497.545,257121.857,17011.118,16260596.5,40505720.25,8702640222482.363,1703986716863.0,11438140945093.75,257539153817.6,2736187289658.5,1159762572628.0,8568853123105.5,17089295855.333,10977650688.0,1338111.783,0.0,934938139.333,15491065.571,0.0,11.0,17751.667,757989696.905
