Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),intel_hsw_cbo,intel_hsw_hau,intel_hsw_imc,intel_hsw_pcu,intel_hsw_qpi,intel_hsw_r2pci,intel_rapl,Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
15:08:14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8591496960.0,0.0,0.0,0.0,841927.625,894.0,0.0,0.0,8965.0,0.0
15:18:14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8591496960.0,0.0,0.0,0.0,841927.625,894.0,0.0,0.0,8965.0,0.0
15:28:14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8591496960.0,0.0,0.0,0.0,841927.625,894.0,0.0,0.0,8965.0,0.0
15:38:14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8591496960.0,0.0,0.0,0.0,841927.625,894.0,0.0,0.0,8965.0,0.0
15:08:14,3801983.5,8563.166666666666,0.0,119666595.0,298826890.0,163846511768.54166,59525224425.833336,445569409420.5,3897985787.0,56149845963.5,28147077527.75,240168238884.0,697542629.0,11410744192.0,10457034.4,54926.666666666664,1949268.5,841927.625,708998.0,0.0,65751042.0,11918.0,5150200.0
15:18:14,3801983.5,8563.166666666666,0.0,119666595.0,298826890.0,163846511768.54166,59525224425.833336,445569409420.5,3897985787.0,56149845963.5,28147077527.75,240168238884.0,697542629.0,11410744192.0,10457034.4,54926.666666666664,1949268.5,841927.625,708998.0,0.0,65751042.0,11918.0,5150200.0
15:28:14,3801983.5,8563.166666666666,0.0,119666595.0,298826890.0,163846511768.54166,59525224425.833336,445569409420.5,3897985787.0,56149845963.5,28147077527.75,240168238884.0,697542629.0,11410744192.0,10457034.4,54926.666666666664,1949268.5,841927.625,708998.0,0.0,65751042.0,11918.0,5150200.0
15:38:14,3801983.5,8563.166666666666,0.0,119666595.0,298826890.0,163846511768.54166,59525224425.833336,445569409420.5,3897985787.0,56149845963.5,28147077527.75,240168238884.0,697542629.0,11410744192.0,10457034.4,54926.666666666664,1949268.5,841927.625,708998.0,0.0,65751042.0,11918.0,5150200.0
15:08:14,4208285.5,17134.416666666668,0.0,120161768.0,300059906.0,369308113738.7083,133894030021.70833,895734394847.0,8928889094.75,75168075105.0,64359345010.5,542391675180.5,726836792.0,11380970112.0,10626663.6,55178.333333333336,1973110.0,841927.90625,751039.0,0.0,65751042.0,11949.0,5623327.0
15:18:14,4208285.5,17134.416666666668,0.0,120161768.0,300059906.0,369308113738.7083,133894030021.70833,895734394847.0,8928889094.75,75168075105.0,64359345010.5,542391675180.5,726836792.0,11380970112.0,10626663.6,55178.333333333336,1973110.0,841927.90625,751039.0,0.0,65751042.0,11949.0,5623327.0
15:28:14,4208285.5,17134.416666666668,0.0,120161768.0,300059906.0,369308113738.7083,133894030021.70833,895734394847.0,8928889094.75,75168075105.0,64359345010.5,542391675180.5,726836792.0,11380970112.0,10626663.6,55178.333333333336,1973110.0,841927.90625,751039.0,0.0,65751042.0,11949.0,5623327.0
15:38:14,4208285.5,17134.416666666668,0.0,120161768.0,300059906.0,369308113738.7083,133894030021.70833,895734394847.0,8928889094.75,75168075105.0,64359345010.5,542391675180.5,726836792.0,11380970112.0,10626663.6,55178.333333333336,1973110.0,841927.90625,751039.0,0.0,65751042.0,11949.0,5623327.0
15:08:14,4420026.5,25705.666666666668,0.0,120688192.0,301370693.0,574517144008.7084,205836940136.0,1348512033956.75,14292543068.25,79897247344.5,102126354487.5,842847207116.5,1428220917.0,11350687232.0,10792989.4,55178.333333333336,1999010.5,841928.1875,794078.0,0.0,65751042.0,12047.0,5899485.0
15:18:14,4420026.5,25705.666666666668,0.0,120688192.0,301370693.0,574517144008.7084,205836940136.0,1348512033956.75,14292543068.25,79897247344.5,102126354487.5,842847207116.5,1428220917.0,11350687232.0,10792989.4,55178.333333333336,1999010.5,841928.1875,794078.0,0.0,65751042.0,12047.0,5899485.0
15:28:14,4420026.5,25705.666666666668,0.0,120688192.0,301370693.0,574517144008.7084,205836940136.0,1348512033956.75,14292543068.25,79897247344.5,102126354487.5,842847207116.5,1428220917.0,11350687232.0,10792989.4,55178.333333333336,1999010.5,841928.1875,794078.0,0.0,65751042.0,12047.0,5899485.0
15:38:14,4420026.5,25705.666666666668,0.0,120688192.0,301370693.0,574517144008.7084,205836940136.0,1348512033956.75,14292543068.25,79897247344.5,102126354487.5,842847207116.5,1428220917.0,11350687232.0,10792989.4,55178.333333333336,1999010.5,841928.1875,794078.0,0.0,65751042.0,12047.0,5899485.0
