Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),intel_rapl,Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
04:29:45,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8574571776.0,0.0,0.0,0.0,1230822.4,188.571,0.0,0.5,7874.0,0.0
04:39:45,4019001.909,8570.857,0.0,4857937.5,12128584.0,899854155.0,72047415.5,182262542737.75,19029923.6,249280003281.667,59094471.25,345971168.5,7599575.0,8616164864.0,1234195.913,0.0,105114.333,1230822.4,72047.714,0.0,0.5,9912.0,4158482.429
04:49:45,4092390.636,17140.143,0.0,5368866.9,13400400.75,1010235810.455,78750778.25,361989365429.0,32242191.6,499955983617.333,65875163.25,424820942.5,1359383172.333,8616055040.0,1291356.913,0.087,118020.0,1230822.4,99935.429,0.0,0.5,9912.0,4270771.81
04:59:45,4336709.182,25710.571,0.0,53064658.7,132599357.0,35429877238.455,1585816316.5,585672687755.75,57951218.0,713953676233.167,120138624.25,6576950401.75,1370209670.333,8804238848.0,1363543.435,0.583,198512.0,1295044.0,128236.286,0.0,0.5,10053.333,4687524.429
05:09:45,4397067.636,34281.286,0.0,53583181.5,133889986.5,35471356507.364,1593140371.5,765415439470.75,71463897.2,964442752512.0,129827265.75,6657355666.5,1377725587.333,8798957056.0,1427854.739,0.67,211842.667,1295044.0,156507.714,0.0,0.5,10037.333,4801955.476
05:19:45,4530416.818,42852.143,0.0,101267666.9,253060821.25,69814319294.727,2993300149.5,1029183480732.75,96439089.4,1206203457059.5,183733446.25,12500454287.75,1389084438.333,8801419520.0,1482375.261,0.757,252434.667,1296961.067,184121.714,0.0,0.5,10032.667,5097981.238
05:29:45,4717769.182,51424.429,0.0,101763595.7,254295447.25,69846880328.273,2999958440.75,1209187297964.5,109899444.8,1456854173516.0,192316134.75,12585548273.5,1396602587.333,8794435840.0,1528155.13,1.398,274670.333,1297085.867,212017.0,0.0,0.5,10039.667,5357512.19
05:39:45,4778872.364,59996.429,0.0,139661071.7,349005113.0,104274184641.0,3961169837.75,1432953215375.25,132351965.6,1696964277685.833,234282985.5,17909733449.75,1406668243.667,8777845760.0,1572574.957,1.485,312228.667,1297085.867,239135.143,0.0,0.5,10087.667,5553700.0
05:49:45,4839230.0,68567.714,0.0,149990960.9,374817237.75,104327967895.636,4023836513.0,1654799328091.75,137404468.2,1929469669049.833,256147203.75,19884799802.25,1415390681.0,8776398080.0,1615119.391,1.573,329898.0,1297384.0,266141.429,0.0,0.5,10071.667,5686124.762
05:59:45,4904058.364,77138.857,0.0,183920218.1,459610363.75,138764353228.182,4742421911.5,1878313248473.5,145715204.0,2141876935853.0,297427627.0,23256064567.25,1425346713.333,8779215104.0,1661718.783,1.922,362925.333,1297384.0,293374.857,0.0,0.5,10087.667,5877501.286
06:09:45,4966274.091,85708.143,0.0,198206616.3,495310196.0,138960082017.182,4854822175.75,2102378481485.25,148961668.8,2367029318864.0,324249581.75,26510395141.5,2778535286.333,8780019200.0,1708437.261,2.01,384311.0,1296833.067,320894.429,0.0,0.5,10071.667,6012868.905
06:19:45,5033704.727,94277.0,0.0,244082670.7,609960470.75,173589287973.727,5618482988.0,2368270429170.25,159516699.6,2554814610194.666,382146879.0,33578258969.0,2789760291.0,8790645248.0,1754384.174,2.097,427365.0,1297326.133,348462.0,0.0,0.5,10071.667,6217638.238
06:29:46,5143229.818,102847.429,0.0,245579992.9,613697468.5,173633997979.273,5625528923.0,2576211203460.75,160235211.6,2805284024190.666,389595530.5,33657575155.0,2797793379.0,8786339840.0,1803668.478,2.447,449693.333,1297509.867,377099.857,0.0,0.5,10071.667,6381803.048
06:39:46,5215510.636,111417.429,0.0,293286892.5,732924825.5,208247764043.364,6271036093.5,2868188812139.75,170143926.0,3054866953818.666,452468976.0,40288495436.25,2809599053.0,8786195968.0,1843567.957,2.534,487714.0,1292538.133,404849.0,0.0,0.5,10071.667,6591575.952
06:49:46,5286668.455,119988.0,0.0,294773783.1,736635974.5,208291095453.091,6277706845.75,3074287662175.25,170807023.0,3304936400688.0,459960441.25,40360873665.75,2817650622.333,8793915392.0,1879692.522,2.621,502112.667,1292538.133,431841.571,0.0,0.5,10071.667,6695205.143
06:59:46,5368252.909,128558.286,0.0,307104563.5,767448072.0,208375695856.182,6528051745.25,3283684047385.0,173091600.0,3555108919565.5,478451176.0,42509636673.75,2826427834.667,8759411712.0,1931354.174,2.971,517723.333,1292538.133,459689.0,0.0,0.5,10087.667,6849721.238
07:09:46,5443505.091,137130.143,0.0,342991772.1,857135117.75,242810062082.364,7002048266.5,3560654909873.5,185305096.2,3804784842189.834,532671088.25,47511937217.75,4181218524.333,8783513344.0,1988006.478,3.058,555482.667,1297536.0,486891.857,0.0,0.5,10055.667,7012490.857
07:18:53,5522859.727,145702.714,0.0,343485999.3,858365467.25,242837215277.0,7008626966.5,3740624890505.75,198516270.0,4055191938047.5,539185881.5,47584354195.0,4188738505.333,8783478784.0,2030439.739,3.146,570049.0,1297536.0,513582.571,0.0,0.5,10071.667,7122268.286
