Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),intel_rapl,Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
12:23:58,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8577307648.0,0.0,0.0,0.0,269620.333,164.0,0.0,0.5,26437.333,0.0
12:33:58,3166110.091,8571.286,0.0,2215896286.2,5536078772.5,246937796846.0,4778949538.0,468857491397.5,1048227717.0,55366956101.833,35526375242.25,166085286349.5,34764805.333,8887793152.0,4728202.696,0.0,179447.667,269620.333,53119.286,0.0,31690753.0,27744.333,3452824.19
12:43:59,3239132.273,17143.143,0.0,3930148445.8,9819073868.5,499477963820.0,10085083440.0,935702776460.75,2266545574.8,114034783033.833,71738414415.75,335750324371.0,69829924.667,8889370624.0,4762020.478,10.927,200699.333,269747.8,80251.714,0.0,32165889.0,27760.333,3573528.667
12:53:59,3312901.091,25715.143,0.0,5535866964.4,13830926995.75,749015537320.545,14759777909.5,1403180680902.25,3332419508.0,173116008606.167,107898283456.0,504915153392.0,104946545.333,8891820288.0,4799989.087,48.5,220674.0,269821.4,108785.143,0.0,32479233.0,27718.333,3695558.571
13:03:59,3390768.727,34286.143,0.0,7295876179.4,18228220668.75,1003541723046.636,20588526782.5,1869816685280.25,4670087437.0,229391695135.667,143226054139.75,671164360655.0,1483973773.0,8891996672.0,4839398.957,128.578,226908.667,269867.267,136225.857,0.0,32696321.0,27751.667,3812687.048
13:13:59,3720380.909,42857.714,0.0,8964194382.8,22396488954.5,1254719435427.091,25392775027.5,2336866217114.75,5758517071.0,288657757853.333,179559844564.5,840767345610.5,1519126558.667,8890255360.0,4880239.87,139.505,235506.667,269912.067,162482.714,0.0,32905217.0,27756.333,4194486.333
13:23:59,3797870.727,51429.0,0.0,10615343654.4,26521821519.5,1508617571904.546,30543959369.0,2803352393528.25,6928888818.6,347276675761.0,215849486811.0,1010350977718.75,1554205156.667,8884420864.0,4934712.174,150.456,246602.333,269927.533,190952.571,0.0,33067009.0,27743.667,4315403.381
13:33:59,3896225.455,60000.429,0.0,12221020126.4,30533569993.25,1760406768902.909,35246746855.75,3270252349283.75,7976400436.4,405373076570.167,251591785403.75,1177022763646.25,2933517070.667,8880493568.0,4976323.348,869.345,274564.333,269946.2,220181.571,0.0,33204225.0,27791.667,4474981.286
13:43:59,3963296.818,68573.857,0.0,13763737394.4,34388002010.75,2013520946838.0,39998523171.75,3736525963620.75,9045543222.2,464860112294.333,287891715858.25,1346347873161.5,4312905890.333,8875923456.0,5020267.565,880.296,297558.667,270506.733,248402.0,0.0,33378305.0,27759.667,4578479.857
13:53:59,4031476.091,77145.286,0.0,15478011154.6,38671043573.5,2265173708706.727,45142177394.75,4201990080323.0,10186295222.8,521830425014.667,322859218689.75,1510192341187.25,4347737706.333,8872953856.0,5061253.478,891.223,321005.667,270520.067,275680.714,0.0,33513473.0,27807.667,4680776.762
14:03:59,4122006.182,85717.571,0.0,17065986339.9,42638532803.75,2517397241721.546,50166515393.0,4668068587232.0,11315169796.2,581121998485.667,359232957642.5,1680215912621.5,4382829996.0,8868511232.0,5103901.696,971.311,342395.667,270532.333,303742.429,0.0,33648641.0,27758.333,4803181.905
