Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),Running average power limit,Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
04:29:44,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8577066240.0,0.0,0.0,0.0,1230826.133,166.714,0.0,0.5,6976.0,0.0
04:39:44,3763542.455,8573.857,0.0,4783317.3,11943577.0,751316003.909,48932660.25,183818892742.0,17178284.2,250724504701.167,59896551.0,316646363.0,7716089.333,8620062464.0,1211462.652,255568.272,106983.667,1230826.133,67568.429,0.0,0.5,9077.333,4079591.095
04:49:44,3862269.091,17147.571,0.0,5213841.5,13015829.25,785853603.455,55035439.25,364520788781.75,30198321.2,502925329667.5,65971569.25,388254120.0,15325367.667,8620116992.0,1260834.609,255576.383,119966.667,1230826.133,92195.0,0.0,0.5,9126.333,4200659.429
04:59:44,4184048.545,25718.857,0.0,52839644.1,132041319.5,16967037636.364,578670908.5,627805725729.75,52993564.2,714716895260.167,121215407.5,6450682845.75,27093199.333,8815472640.0,1312681.913,255668.083,202153.667,1295360.0,119079.429,0.0,0.5,9219.667,4632968.238
05:09:45,4254843.545,34292.143,0.0,53268681.3,133109924.5,17001908756.0,585056366.0,810201394764.5,66223681.4,967216908969.0,128737367.0,6533723610.25,34725663.333,8807090688.0,1386593.174,255676.199,214863.667,1295360.0,144678.714,0.0,0.5,9235.667,4753509.381
05:19:45,4383360.091,42863.143,0.0,100874023.9,252084862.75,33698672935.091,1072590220.25,1079667676925.5,89366101.0,1164902049134.0,181591888.5,14515196284.25,46357513.0,8803486208.0,1433529.87,255684.306,257907.333,1297754.4,170303.857,0.0,0.5,9247.0,5067706.286
05:29:45,4572203.273,51436.286,0.0,101298896.7,253143182.25,33734747389.636,1079694318.25,1261709330227.25,102713719.4,1417201425183.667,189992189.25,14598183208.75,53999335.667,8798489344.0,1482124.304,256406.83,280705.0,1297754.4,196518.571,0.0,0.5,9269.0,5312251.381
05:39:45,4643360.545,60009.286,0.0,131234670.7,327956660.5,68073516808.455,1438881373.75,1485424555868.5,122340425.6,1669242892751.667,226432969.5,19371468855.75,63775486.333,8773582848.0,1526374.304,256414.947,314079.333,1297879.2,222906.286,0.0,0.5,9253.0,5496194.905
05:49:45,4729042.0,68578.571,0.0,149379902.7,373302158.25,68303595618.818,1549866107.5,1749976541336.5,139063583.2,1868759190084.333,254525645.0,23185442689.75,73545167.667,8777390848.0,1578457.783,256423.058,338061.667,1298185.6,248514.714,0.0,0.5,9221.0,5653163.714
05:59:45,4834460.273,77151.571,0.0,169482611.1,423540092.25,84759477983.0,1703714818.5,1974708729522.25,149667293.2,2120051819032.333,280784259.75,26116416105.0,82861952.333,8784804608.0,1634211.304,256500.33,364837.667,1298185.6,274436.143,0.0,0.5,9253.0,5821714.238
