Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),intel_rapl,Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
04:57:18,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8572255232.0,0.0,0.0,0.0,1441984.8,148.429,0.0,0.5,17480.333,0.0
05:07:18,2560297.182,8571.571,0.0,10093065601.2,20931112844.5,296752009756.091,65966272041.75,454434887320.25,28309143100.2,4104215398.333,36488894322.75,249306185781.75,28568328.0,10077905664.0,17275.696,163885.714,300628.833,1441984.8,109938.143,0.0,69105667.0,19552.333,3612677.905
05:17:18,2688810.273,17142.857,0.0,19110898308.6,43464587491.75,603990398978.818,137053346709.0,906688695100.0,59226285351.4,8181578651.5,75951559992.25,518862326292.0,57871525.667,10135943680.0,33249.304,163885.714,362941.5,1441984.8,133761.143,0.0,69105667.0,19629.333,3841311.619
05:27:18,3060131.909,25714.286,0.0,28219098857.8,66223870172.75,912293933138.818,203028169907.75,1358119452057.5,90476357484.4,13773934188.0,115843965603.75,791143195317.75,87261816.667,10183643392.0,48327.826,164690.675,431928.333,1441984.8,157838.857,0.0,69105667.0,19625.333,4304106.381
05:27:36,3132033.636,34285.714,0.0,37440466938.0,89265931598.5,1222060334141.727,262993067557.5,1807361418509.0,122131315646.4,21288262992.833,156254919676.5,1066651314492.0,1461035872.333,10224521984.0,64108.304,164690.675,475216.667,1441984.8,181208.429,0.0,69105667.0,19625.0,4442449.857
05:37:36,3133151.091,34537.286,0.0,37709537843.0,89938277370.5,281474977695679.06,281474976757304.5,281474976916836.5,225179981499086.6,93825352752477.83,211106233635571.0,17592186749073.0,1461901706.667,10225657088.0,65317.565,164690.675,476604.0,1441984.8,181908.429,0.0,69105667.0,19627.667,4444193.905
05:47:36,3200954.364,43108.857,0.0,46928997893.8,112975571281.5,281785190305275.4,281534951896076.75,281922535371497.5,225211618839781.6,93833092773171.33,211146638986895.5,17867614957261.25,2835678656.0,10258839552.0,79563.0,164690.675,517293.333,1441984.8,204749.143,0.0,69105667.0,19627.667,4576233.81
05:57:36,3277334.727,51680.286,0.0,56144585745.0,136003189301.5,282095167709399.75,281595075843712.75,282370518577486.75,225243251222098.4,93840831734732.17,211187032100237.5,18142966743448.5,2865180211.667,10310648576.0,94716.304,164761.801,557242.667,1441984.8,227886.429,0.0,69105667.0,19628.0,4714884.429
06:07:36,3342166.273,60251.714,0.0,65364448617.6,159041489895.5,282405395663707.25,281655089909866.75,282819331883398.75,225274896583289.0,93848292266326.0,211227426661395.25,18418348512950.5,4238952687.0,10352363008.0,108716.565,164761.801,594599.0,1441984.8,250840.571,0.0,69105667.0,19608.667,4853990.333
06:17:37,3408852.0,68823.0,0.0,74590003764.4,182094013793.0,282715875529443.0,281714985905124.0,283268871924981.5,225306601599984.0,93855252381577.66,211267798404635.75,18693885268218.246,4268432127.333,10398653952.0,124517.435,164761.801,631998.833,1441984.8,274149.143,0.0,69105667.0,19608.667,4975728.429
06:27:37,3504596.545,77394.571,0.0,83808985910.6,205130516783.25,283026156506946.44,281774811883607.75,283718218910008.5,225338306835691.6,93862450322611.5,211308148527933.75,18969414564476.246,4297912688.0,10445304576.0,142313.652,165438.165,680724.167,1441984.8,298399.286,0.0,69105667.0,19641.0,5142388.952
06:37:37,3566815.182,85966.0,0.0,92832656673.0,227678175371.75,283334035916299.25,281841857421967.5,284171875876719.0,225369516369517.0,93866317891179.17,211347662213249.97,19239869466283.5,4327106056.333,10487716352.0,157521.217,165438.165,716726.833,1441984.8,321754.143,0.0,69105667.0,19640.667,5262626.048
06:47:37,3670383.727,94537.429,0.0,101805699137.0,250099729243.0,283641246442446.06,281910447351254.0,284626394157805.5,225400602974580.2,93869557708592.5,211386965528169.75,19509036293072.754,5700523943.0,10533511680.0,173032.739,165438.165,753128.167,1441984.8,359460.429,0.0,69105667.0,19640.667,5401925.048
06:57:37,3752349.0,103108.714,0.0,110775564672.1,272513668813.75,283948492787039.56,281979270064628.5,285080976689760.25,225431687876492.2,93872774961161.66,211426298709578.75,19778226264655.246,5729642311.0,10579302400.0,189033.043,165509.291,790726.833,1441984.8,392743.429,0.0,69105667.0,19643.333,5549800.619
07:07:37,3820528.545,111680.286,0.0,119746937048.0,294930725412.25,284255662972981.0,282049394470930.0,285535326970320.5,225462772755493.6,93876049175964.5,211465689801646.25,20047578622418.0,5758817434.667,10625216256.0,203507.957,165509.291,827092.833,1441984.8,423103.286,0.0,69105667.0,19697.333,5718968.048
