Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),intel_rapl,Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
00:27:40,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8581163264.0,0.0,0.0,0.0,165828.8,145.143,0.0,0.5,6376.667,0.0
00:37:40,9845424.818,8565.286,20723.412,54311838.9,135604383.0,203767053212.727,4575550331.5,376124289505.75,39970187.2,80754721158.5,197627912.25,45051024591.0,1371346167.333,8763837440.0,1060417.913,0.0,459178.0,165828.8,594056.571,0.0,209418242.0,11190.667,11199656.571
00:47:40,10234267.364,17137.0,21289.588,55008330.7,137341217.25,421445846203.091,9096368568.5,750355441661.5,59831209.4,161367184319.333,252083031.75,91661470459.5,1399144196.0,8772165632.0,1118469.0,0.0,834002.667,165987.733,826051.0,0.0,209418242.0,11194.333,18015531.476
00:57:40,11171649.182,25708.571,21854.706,55702914.1,139073282.5,639208369133.636,13602132402.25,1124574099279.5,69579938.8,243479703235.0,309590857.0,138089849004.0,2771236429.0,8772428032.0,1173884.13,0.0,963454.333,166226.933,1057719.286,0.0,209418242.0,11228.333,25214308.81
01:07:40,12133699.273,34280.286,22723.0,56831462.9,141888800.0,857855384457.909,18258482175.0,1498795493044.0,78627674.4,325988754681.833,370947494.25,185112735717.5,2799056530.333,8773971968.0,1217144.087,0.0,1141386.333,183599.2,1301712.571,0.0,209418242.0,11234.667,25865776.381
01:17:40,15140866.364,42852.143,24332.059,59004544.7,147312309.0,1076023890188.182,22824961979.0,1873022166936.25,86880418.2,407617026117.167,427084655.5,231987018810.5,2826881270.0,8776129280.0,1270643.652,0.0,1409009.333,183524.8,1532012.714,0.0,209418242.0,11308.333,27627018.762
01:27:41,18047468.545,51423.857,26261.765,61708682.7,154062139.0,1293160301891.727,27947073399.0,2247248547247.25,94824579.8,488816126422.333,482051310.75,278362270468.5,4198987390.667,8775418624.0,1310119.043,0.0,1597282.333,183502.4,1764416.571,0.0,209418242.0,11300.333,29291222.571
01:37:41,20702697.0,59995.714,28462.529,64898261.3,162024261.75,1510709095208.182,33634576680.25,2621472127300.0,101411777.2,573464245159.333,530090878.25,324782248148.25,4226791071.333,8773710848.0,1350031.0,0.0,1642852.667,183581.867,2001576.571,0.0,209418242.0,11337.667,37271688.238
01:47:41,23456581.0,68567.286,30499.118,67788157.3,169238158.75,1729462855429.0,39391317282.0,2995683776914.25,107011783.6,667217042980.0,573156035.25,372173865340.75,4254575087.0,8771467008.0,1400727.478,0.0,1761222.667,182264.267,2238583.286,0.0,209418242.0,11367.0,46240117.238
01:57:41,26170657.273,77138.857,32385.412,70435123.9,175845584.75,1951369799596.818,45669685486.0,3370524825113.75,111622611.6,761883652532.333,611837149.75,420575743074.0,4282351355.667,8769472000.0,1442451.391,0.0,1802509.0,182264.267,2474216.429,0.0,209418242.0,11287.667,54703209.095
