Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),intel_rapl,Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
08:58:58,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8575167232.0,0.0,0.0,0.0,1121277.267,179.429,0.0,0.5,6552.0,0.0
09:08:58,3910562.0,8571.429,0.0,4856794.7,12126372.25,784285697.818,383623535.75,182233972008.75,18180377.2,249248269194.0,57248344.75,325327339.75,7531127.667,8618253824.0,1207105.13,0.0,113089.0,1121277.267,70699.286,0.0,0.5,8477.667,4138380.81
09:18:58,4086351.455,17142.143,0.0,28903189.1,72220037.0,23835190757.182,1309525470.75,383774186097.25,35480332.2,480454635176.333,81068279.5,4643635651.75,17133551.333,8707397888.0,1271268.087,10.34,148509.333,1121277.267,98351.429,0.0,0.5,8588.0,4416414.476
09:28:58,4475160.0,25716.286,0.0,52937035.3,132283013.75,35677487892.364,1812780304.0,578884175398.25,56722912.4,720510346132.0,118783770.75,7019157988.75,25770340.0,8798776320.0,1309535.609,780.704,210711.667,1121277.267,125983.143,0.0,0.5,8607.333,4919152.095
09:38:58,4569399.364,34289.571,0.0,53356556.3,133328080.0,35700975598.182,1818671807.5,760413703546.5,70001676.8,971699652685.833,126216863.0,7095735186.0,33240471.0,8793798144.0,1349735.261,791.049,224556.667,1121277.267,152286.0,0.0,0.5,8639.333,5037200.476
09:48:58,4647628.273,42859.429,0.0,101001810.8,252401529.25,70468547971.636,2616935982.0,1028155207020.0,94405650.2,1161696098315.333,192943166.75,14148297594.5,44897789.333,8798189568.0,1386823.783,801.393,264480.667,1121277.267,179213.571,0.0,0.5,8607.667,5251690.81
09:58:58,4744475.273,51431.0,0.0,118170537.6,295306326.5,103222397475.364,3306999843.75,1249654180880.25,111487390.4,1375624157716.833,220431934.75,19050606481.25,54676590.0,8773438720.0,1432533.13,882.252,285502.667,1121277.267,206550.0,0.0,0.5,8624.667,5455110.095
10:08:58,4835361.818,60004.0,0.0,135356938.8,338255811.5,104894189397.273,3360583721.0,1434000819363.5,130096461.4,1623874988049.0,250931911.0,19451045280.75,1406550110.667,8784596736.0,1465604.739,892.592,316683.0,1121277.267,233334.714,0.0,0.5,8640.667,5580996.333
10:18:58,4942268.0,68575.143,0.0,149564489.6,373760303.5,104961811278.182,3504222402.25,1659352855765.75,143861002.4,1856066308178.333,276008610.75,22668803090.25,1415408656.0,8772938496.0,1499729.783,902.937,342074.667,1121277.267,259761.143,0.0,0.5,8641.333,5736055.238
10:28:58,5073384.909,77146.0,0.0,195340886.0,488163199.25,139360369348.727,4319207498.5,1925968749476.5,154910335.6,2102884044039.167,336695584.75,30156350622.5,1426597775.0,8773782528.0,1550438.087,1633.748,396547.0,1121277.267,287995.571,0.0,0.5,8657.333,6000586.238
10:38:58,5171352.818,85715.714,0.0,195773056.0,489239517.75,139432562593.091,4326353666.0,2107671869213.75,155484731.0,2353667818475.334,344232524.25,30233994829.5,1434080402.333,8772762880.0,1594911.217,1644.097,409996.0,1121277.267,315997.857,0.0,0.5,8673.333,6122461.571
10:48:58,5251066.455,94285.714,0.0,198167391.2,495219945.25,139511601879.909,4332823052.0,2329637603398.25,156279488.0,2566909356405.666,353177816.0,30317879066.0,1442297514.667,8783470336.0,1653481.87,1654.437,424666.0,1121277.267,341682.286,0.0,0.5,8641.333,6235925.476
10:58:58,5338229.909,102855.0,0.0,245806678.8,614279185.25,168213963211.091,5045281875.75,2637484050831.5,167027719.6,2779659122078.166,413271166.5,36513636105.5,1454350803.333,8792742400.0,1701452.13,1735.291,468306.667,1121277.267,368951.429,0.0,0.5,8657.333,6461786.0
11:08:59,5431725.545,111424.714,0.0,246225877.2,615323483.0,168294125493.636,5053645360.5,2818397775940.75,167609942.4,3030498822779.0,420510716.0,36587273995.5,1461832898.667,8791863296.0,1744704.0,1745.636,481986.333,1121277.267,394677.571,0.0,0.5,8657.333,6575858.0
11:18:59,5536021.545,119995.0,0.0,260436772.0,650836045.5,168442375884.091,5339617393.0,3026887912931.75,170246414.8,3280331741167.0,438934048.5,39081814583.5,1470734890.333,8762555648.0,1781227.739,1755.976,498202.333,1121277.267,420827.714,0.0,0.5,8675.0,6740889.476
11:28:59,5628399.545,128564.286,0.0,294295356.8,735454107.5,168691756636.182,5681656827.25,3308679857740.25,178934051.0,3529037505699.0,488673021.25,43943868747.25,1481316698.0,8783028224.0,1847340.957,1836.825,537124.333,1121277.267,447123.429,0.0,0.5,8691.333,6913677.381
11:38:59,5693962.727,137134.143,0.0,294725240.6,736524795.5,168775998679.636,5687933258.25,3490513125263.75,179469695.2,3779791989219.334,495635973.0,44020101077.5,1488826958.0,8783169024.0,1893918.348,1847.165,551470.333,1121277.267,472855.286,0.0,0.5,8707.333,7026250.095
11:48:59,5758780.273,145702.571,0.0,327626152.8,818748518.25,169117133839.818,6053226750.75,3723713785592.25,193996634.2,3991507343267.334,538231477.5,47197519170.0,1498619202.667,8744697856.0,1951002.478,1857.51,581852.667,1121277.267,499230.714,0.0,0.5,8675.333,7215365.429
11:58:59,5852650.182,154273.571,0.0,342793164.4,856651658.25,169389449429.0,6217334528.25,3980879605847.5,210669015.4,4228202443627.0,581869607.0,50574460869.25,1508346765.333,8787311104.0,1991295.174,1938.359,609995.667,1121277.267,524826.429,0.0,0.5,8675.333,7370743.429
12:08:59,7822932.364,162843.571,0.0,343215755.4,857704354.0,169454149442.273,6224911794.25,4163021800677.25,224014886.2,4478883728778.333,590459951.0,50668547072.75,2860111635.667,8790879488.0,2041871.783,1948.704,645582.333,1121277.267,551987.714,0.0,0.5,16190.0,9629460.0
