Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),intel_hsw_cbo,intel_hsw_hau,intel_hsw_imc,intel_hsw_pcu,intel_hsw_qpi,intel_hsw_r2pci,intel_rapl,Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
13:21:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8593242624.0,0.0,0.0,0.0,845463.0625,793.0,0.0,0.0,17908.0,0.0
13:31:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8593242624.0,0.0,0.0,0.0,845463.0625,793.0,0.0,0.0,17908.0,0.0
13:41:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8593242624.0,0.0,0.0,0.0,845463.0625,793.0,0.0,0.0,17908.0,0.0
13:51:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8593242624.0,0.0,0.0,0.0,845463.0625,793.0,0.0,0.0,17908.0,0.0
14:01:02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8593242624.0,0.0,0.0,0.0,845463.0625,793.0,0.0,0.0,17908.0,0.0
14:11:02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8593242624.0,0.0,0.0,0.0,845463.0625,793.0,0.0,0.0,17908.0,0.0
13:20:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8593242624.0,0.0,0.0,0.0,845463.0625,793.0,0.0,0.0,17908.0,0.0
13:30:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8593242624.0,0.0,0.0,0.0,845463.0625,793.0,0.0,0.0,17908.0,0.0
13:40:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8593242624.0,0.0,0.0,0.0,845463.0625,793.0,0.0,0.0,17908.0,0.0
13:50:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8593242624.0,0.0,0.0,0.0,845463.0625,793.0,0.0,0.0,17908.0,0.0
14:00:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8593242624.0,0.0,0.0,0.0,845463.0625,793.0,0.0,0.0,17908.0,0.0
14:10:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8593242624.0,0.0,0.0,0.0,845463.0625,793.0,0.0,0.0,17908.0,0.0
13:21:01,3386103.5,8564.791666666666,0.0,120502058.0,300880397.0,187329999316.0,74370513163.08333,452393921949.5,6826292965.875,27623992768.0,40564528904.75,302679635448.0,29399425.0,11388424064.0,10420509.0,128727.0,1930405.5,845463.0625,712894.0,0.0,65751042.0,20787.0,4702827.0
13:31:01,3386103.5,8564.791666666666,0.0,120502058.0,300880397.0,187329999316.0,74370513163.08333,452393921949.5,6826292965.875,27623992768.0,40564528904.75,302679635448.0,29399425.0,11388424064.0,10420509.0,128727.0,1930405.5,845463.0625,712894.0,0.0,65751042.0,20787.0,4702827.0
13:41:01,3386103.5,8564.791666666666,0.0,120502058.0,300880397.0,187329999316.0,74370513163.08333,452393921949.5,6826292965.875,27623992768.0,40564528904.75,302679635448.0,29399425.0,11388424064.0,10420509.0,128727.0,1930405.5,845463.0625,712894.0,0.0,65751042.0,20787.0,4702827.0
13:51:01,3386103.5,8564.791666666666,0.0,120502058.0,300880397.0,187329999316.0,74370513163.08333,452393921949.5,6826292965.875,27623992768.0,40564528904.75,302679635448.0,29399425.0,11388424064.0,10420509.0,128727.0,1930405.5,845463.0625,712894.0,0.0,65751042.0,20787.0,4702827.0
14:01:02,3386103.5,8564.791666666666,0.0,120502058.0,300880397.0,187329999316.0,74370513163.08333,452393921949.5,6826292965.875,27623992768.0,40564528904.75,302679635448.0,29399425.0,11388424064.0,10420509.0,128727.0,1930405.5,845463.0625,712894.0,0.0,65751042.0,20787.0,4702827.0
14:11:02,3386103.5,8564.791666666666,0.0,120502058.0,300880397.0,187329999316.0,74370513163.08333,452393921949.5,6826292965.875,27623992768.0,40564528904.75,302679635448.0,29399425.0,11388424064.0,10420509.0,128727.0,1930405.5,845463.0625,712894.0,0.0,65751042.0,20787.0,4702827.0
13:20:58,3386103.5,8564.791666666666,0.0,120502058.0,300880397.0,187329999316.0,74370513163.08333,452393921949.5,6826292965.875,27623992768.0,40564528904.75,302679635448.0,29399425.0,11388424064.0,10420509.0,128727.0,1930405.5,845463.0625,712894.0,0.0,65751042.0,20787.0,4702827.0
13:30:58,3386103.5,8564.791666666666,0.0,120502058.0,300880397.0,187329999316.0,74370513163.08333,452393921949.5,6826292965.875,27623992768.0,40564528904.75,302679635448.0,29399425.0,11388424064.0,10420509.0,128727.0,1930405.5,845463.0625,712894.0,0.0,65751042.0,20787.0,4702827.0
13:40:58,3386103.5,8564.791666666666,0.0,120502058.0,300880397.0,187329999316.0,74370513163.08333,452393921949.5,6826292965.875,27623992768.0,40564528904.75,302679635448.0,29399425.0,11388424064.0,10420509.0,128727.0,1930405.5,845463.0625,712894.0,0.0,65751042.0,20787.0,4702827.0
13:50:58,3386103.5,8564.791666666666,0.0,120502058.0,300880397.0,187329999316.0,74370513163.08333,452393921949.5,6826292965.875,27623992768.0,40564528904.75,302679635448.0,29399425.0,11388424064.0,10420509.0,128727.0,1930405.5,845463.0625,712894.0,0.0,65751042.0,20787.0,4702827.0
14:00:58,3386103.5,8564.791666666666,0.0,120502058.0,300880397.0,187329999316.0,74370513163.08333,452393921949.5,6826292965.875,27623992768.0,40564528904.75,302679635448.0,29399425.0,11388424064.0,10420509.0,128727.0,1930405.5,845463.0625,712894.0,0.0,65751042.0,20787.0,4702827.0
14:10:58,3386103.5,8564.791666666666,0.0,120502058.0,300880397.0,187329999316.0,74370513163.08333,452393921949.5,6826292965.875,27623992768.0,40564528904.75,302679635448.0,29399425.0,11388424064.0,10420509.0,128727.0,1930405.5,845463.0625,712894.0,0.0,65751042.0,20787.0,4702827.0
13:21:01,3474012.75,17136.166666666668,0.0,120999656.0,302119279.0,392927228013.875,154106436007.875,915068027683.75,14296831301.875,31939532861.5,85515585445.75,637254867974.0,732646028.0,11358259840.0,10560340.4,128727.0,1945967.5,845463.34375,749780.0,0.0,65751042.0,20755.0,4834517.0
13:31:01,3474012.75,17136.166666666668,0.0,120999656.0,302119279.0,392927228013.875,154106436007.875,915068027683.75,14296831301.875,31939532861.5,85515585445.75,637254867974.0,732646028.0,11358259840.0,10560340.4,128727.0,1945967.5,845463.34375,749780.0,0.0,65751042.0,20755.0,4834517.0
13:41:01,3474012.75,17136.166666666668,0.0,120999656.0,302119279.0,392927228013.875,154106436007.875,915068027683.75,14296831301.875,31939532861.5,85515585445.75,637254867974.0,732646028.0,11358259840.0,10560340.4,128727.0,1945967.5,845463.34375,749780.0,0.0,65751042.0,20755.0,4834517.0
13:51:01,3474012.75,17136.166666666668,0.0,120999656.0,302119279.0,392927228013.875,154106436007.875,915068027683.75,14296831301.875,31939532861.5,85515585445.75,637254867974.0,732646028.0,11358259840.0,10560340.4,128727.0,1945967.5,845463.34375,749780.0,0.0,65751042.0,20755.0,4834517.0
14:01:02,3474012.75,17136.166666666668,0.0,120999656.0,302119279.0,392927228013.875,154106436007.875,915068027683.75,14296831301.875,31939532861.5,85515585445.75,637254867974.0,732646028.0,11358259840.0,10560340.4,128727.0,1945967.5,845463.34375,749780.0,0.0,65751042.0,20755.0,4834517.0
14:11:02,3474012.75,17136.166666666668,0.0,120999656.0,302119279.0,392927228013.875,154106436007.875,915068027683.75,14296831301.875,31939532861.5,85515585445.75,637254867974.0,732646028.0,11358259840.0,10560340.4,128727.0,1945967.5,845463.34375,749780.0,0.0,65751042.0,20755.0,4834517.0
13:20:58,3474012.75,17136.166666666668,0.0,120999656.0,302119279.0,392927228013.875,154106436007.875,915068027683.75,14296831301.875,31939532861.5,85515585445.75,637254867974.0,732646028.0,11358259840.0,10560340.4,128727.0,1945967.5,845463.34375,749780.0,0.0,65751042.0,20755.0,4834517.0
13:30:58,3474012.75,17136.166666666668,0.0,120999656.0,302119279.0,392927228013.875,154106436007.875,915068027683.75,14296831301.875,31939532861.5,85515585445.75,637254867974.0,732646028.0,11358259840.0,10560340.4,128727.0,1945967.5,845463.34375,749780.0,0.0,65751042.0,20755.0,4834517.0
13:40:58,3474012.75,17136.166666666668,0.0,120999656.0,302119279.0,392927228013.875,154106436007.875,915068027683.75,14296831301.875,31939532861.5,85515585445.75,637254867974.0,732646028.0,11358259840.0,10560340.4,128727.0,1945967.5,845463.34375,749780.0,0.0,65751042.0,20755.0,4834517.0
