Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),intel_rapl,Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
07:04:13,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8573453824.0,0.0,0.0,0.0,139.429,0.0,0.5,6022.667,0.0
07:14:13,1123585.091,8590.429,323208.0,553672.3,1377847.5,40755979.0,5758457.25,182411646740.0,13160838.6,252889537711.833,6602491.0,70403637.75,7546427.333,8575788032.0,37277.348,0.0,16162.0,28241.571,0.0,0.5,6503.333,1302753.571
07:24:13,1338488.727,17161.857,624464.882,1069457.3,2661690.25,79828511.273,11698458.25,364005888921.5,26248567.8,505209470845.5,12928784.5,142363269.0,15074723.667,8576284672.0,77413.087,0.0,29396.333,55255.0,0.0,0.5,6473.667,1633276.381
07:34:13,1872167.727,25732.857,937923.176,1606294.9,3997794.25,121715462.182,17435242.5,546323501803.0,28433223.2,757559863515.0,19172939.75,214430415.0,22620118.0,8576987904.0,122674.13,1.0745676159442458e+18,45190.667,82374.857,0.0,0.5,6575.667,2285913.19
07:44:13,1946295.455,34304.571,1236729.412,2117824.3,5271101.0,161581562.0,24730385.0,727678792164.0,28912969.4,1009956912130.0,25148281.5,283163741.5,30142191.333,8577020160.0,165711.261,1.0745676159442458e+18,58426.333,109300.429,0.0,0.5,6559.667,2390262.667
07:54:14,2022658.364,42875.0,1532854.471,2624739.1,6532968.25,204023392.364,30990344.75,908691475640.0,29419474.0,1262218328723.5,31182239.75,355147392.5,37670880.667,8577166336.0,202735.391,1.0745676159442458e+18,73139.333,135965.571,0.0,0.5,6555.333,2498291.333
08:04:14,2110566.909,51445.857,1824812.412,3124448.3,7776975.75,245580302.273,36665993.0,1090000147834.25,29940563.0,1514553323823.667,37387301.0,426693119.75,1389477952.333,8577072640.0,244724.739,1.0745676159442458e+18,87884.667,162529.143,0.0,0.5,6528.667,2614060.0
08:14:14,2179852.455,60016.0,2124314.824,3637216.3,9053306.25,287813235.636,42432817.5,1270947363699.25,30430957.2,1766877311351.167,43387929.25,498796314.75,1397008567.333,8577103616.0,297298.522,1.0745676159442458e+18,102141.0,189493.429,0.0,0.5,6560.667,2719262.667
08:24:14,2249515.545,68586.286,2453113.471,4200547.1,10455065.25,326011803.818,48120292.0,1451753079631.75,30924492.8,2019183555293.333,49367273.75,572669348.25,1404544051.0,8577276160.0,337069.13,1.0745676159442458e+18,115565.0,217038.286,0.0,0.5,6556.333,2834783.286
08:34:14,2468523.182,77157.143,2748678.941,4706508.3,11714520.5,362150033.455,54270436.75,1633022246966.25,31516336.2,2271186866828.0,56086319.75,650879541.5,1412068522.333,8577203456.0,388036.522,4.4773650664343654e+17,141060.0,244869.571,0.0,0.5,6614.667,3102119.429
08:44:14,2526259.909,85727.143,3043706.0,5211549.3,12971682.75,399096821.636,60149391.0,1814110761808.5,31983917.0,2523469682850.0,61825991.25,728020395.5,1419590855.333,8577239552.0,433991.826,4.4773650664343654e+17,153577.0,271533.0,0.0,0.5,6583.0,3208466.381
08:54:14,2584748.455,94297.0,3341744.294,5721787.5,14241713.0,435755228.909,65955978.75,1996113411624.5,36469092.0,2775641285559.666,67917730.75,804517287.0,1427130499.0,8577646592.0,474662.696,4.4773650664343654e+17,168464.333,298250.571,0.0,0.5,6573.333,3322252.19
