Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),Running average power limit,Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
14:37:24,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8582206208.0,0.0,0.0,0.0,1277598.4,188.429,0.0,17868825.0,76312.0,0.0
14:47:24,3575780.273,8570.857,4991.235,40316830.1,100748389.5,26666235163.091,1164759615.5,207616642786.25,14533824.2,226830147997.333,102083056.5,4995844449.25,8889157.333,8762811136.0,17008128.0,254721.981,161939.667,1277598.4,72889.714,0.0,17868825.0,78364.667,4094432.333
14:57:24,3864036.545,17141.0,8804.765,76269748.7,190598547.25,40872406682.727,1969682872.75,450671417757.5,24235216.2,436535859071.167,152113052.25,9616230476.25,18140921.667,8757661184.0,32189098.913,254816.631,202975.333,1279028.8,102219.857,0.0,17868825.0,78426.333,4500691.143
15:07:24,3947105.909,25709.857,12683.824,112266233.5,280556757.75,58434911693.636,2576707814.5,696052626568.75,32689261.6,658506031465.0,201639233.25,14167827028.25,27510817.667,8755482112.0,47384527.217,254827.699,242353.0,1275775.733,131656.286,0.0,17868825.0,78426.333,4702886.048
15:17:24,4157167.182,34279.0,16365.412,148264371.7,370519743.75,71494550121.273,3133378588.0,942073232336.0,41434971.0,895410663397.0,252452501.0,18493388383.5,36800671.667,8754847488.0,62582943.478,254838.767,283097.0,1279526.4,162116.429,0.0,17868825.0,78439.0,5050831.286
15:27:24,4408953.182,42849.0,20205.412,184271105.9,460503635.0,93246983020.273,3669417356.5,1190690896702.0,49841270.2,1145165653701.833,305049836.75,23293025045.25,45982789.0,8742537472.0,77782849.391,255523.243,335868.667,1275933.867,192556.857,0.0,17868825.0,78413.667,5441203.238
15:37:24,4495747.727,51420.714,24052.059,220216700.3,550335516.5,144726893976.727,4153756717.25,1467456123294.0,57584040.0,1362254738351.333,353572575.0,27144850727.75,55511589.333,8744417792.0,92962877.087,255534.311,376746.333,1279682.4,221750.429,0.0,17868825.0,78429.667,5631471.476
15:47:24,4578073.818,59991.714,27857.882,256172887.5,640193664.75,189333667282.818,4484756758.25,1743295315959.75,75813789.4,1573508618552.833,403287182.0,31490952302.0,65176903.333,8751225344.0,108144025.87,255545.383,415813.333,1279682.667,251211.714,0.0,17868825.0,78397.667,5823666.0
15:57:24,4654819.455,68562.0,31633.588,292123136.3,730037219.25,240962816430.182,4767016037.75,2048439329515.5,95590554.4,1822390145257.5,452761984.25,35077375958.25,75256004.667,8750647040.0,123326957.478,255625.607,455920.333,1275934.667,280477.0,0.0,17868825.0,78397.667,6027121.333
16:07:24,4724109.182,77132.571,35416.294,328082384.5,819902786.0,260748497598.364,5048623425.75,2352459231929.5,115472898.8,2073007463058.667,505944353.0,39718024273.75,85369830.333,8751713792.0,138507295.522,255636.68,493872.667,1280124.533,309833.571,0.0,17868825.0,78430.333,6213030.19
16:17:24,4800105.273,85702.714,39184.882,364041888.5,909769220.0,299618670356.364,5351494510.5,2656156492572.5,135444356.4,2317334509439.166,560410095.75,45371649338.75,1439786860.0,8751048704.0,153689558.087,255647.748,531469.333,1276064.8,339147.0,0.0,17868825.0,78397.667,6408063.905
