Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),Running average power limit,Memory usage (per socket),Network device usage (per device),NUMA statistics (per socket),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
04:27:28,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8580508928.0,0.0,0.0,1167272.4,164.143,0.0,0.5,6817.0,0.0
04:37:28,3463300.636,8572.0,0.0,907153.5,2259576.75,112891946122.545,6685871524.25,179635975626.5,15039033.6,1103223341.667,44047173.0,26126587696.25,1356502812.667,8631393024.0,47819.261,113424.0,1167272.4,58484.857,0.0,65961986.5,9273.667,3747005.429
04:47:28,3534826.455,17145.0,0.0,1320915.3,3290378.5,225446518868.0,16095135321.5,359289233384.25,18805327.6,1103223341.667,66376071.5,60290732872.75,2713094189.0,8632079872.0,85976.13,116919.0,1167272.4,83606.714,0.0,65961986.5,9287.333,3858463.667
04:57:29,3813023.455,25717.857,0.0,1747091.9,4352027.25,338005789402.454,25482869431.25,538939889508.75,19706542.8,1103223341.667,88932177.25,94322179075.5,2725434814.0,8633263360.0,128036.826,122683.667,1167272.4,109516.286,0.0,65961986.5,9335.667,4182880.905
05:07:29,3871138.0,34290.714,0.0,2166545.5,5396923.0,449970893016.0,35289858454.25,718590960642.75,20601000.4,1103223341.667,111836715.25,129883644989.25,2737775959.0,8633694208.0,165919.217,128117.667,1167272.4,134860.571,0.0,65961986.5,9335.667,4294447.476
05:17:29,4055871.0,42863.714,0.0,2589308.7,6450041.0,562476641862.273,44899630773.0,898243242504.5,21514878.6,1103223341.667,134674821.5,164823500603.25,2750115679.0,8633980672.0,200709.043,134317.333,1167272.4,159839.714,0.0,65961986.5,9316.667,4520870.81
05:27:29,4246936.545,51436.714,0.0,3014323.5,7508856.5,675095236313.545,54017604602.5,1077896680113.25,22867601.6,1103223341.667,160626910.25,198892798431.75,2762468784.0,8636775424.0,254926.652,152411.667,1167272.4,186235.857,0.0,65961986.5,9402.667,4789069.095
05:37:29,4319579.273,60009.714,0.0,3436058.1,8559507.25,787686965822.636,62221297153.25,1257552204571.0,24695416.0,1103223341.667,189697260.0,228659869998.5,2774824486.333,8639299584.0,299968.957,173978.667,1167272.4,212736.143,0.0,65961986.5,9370.667,4927508.429
05:47:30,4395945.636,68582.714,0.0,3866946.1,9633111.5,900762915507.818,72295198193.0,1437208749872.25,26945076.6,1103223341.667,218273463.25,265759690148.5,2787175125.667,8639543552.0,340941.565,208922.0,1167272.4,238276.857,0.0,65961986.5,9370.667,5078951.048
05:57:30,4473429.273,77155.714,0.0,4287967.3,10682065.0,1012451342308.818,82424110765.5,1616867459495.5,29414086.4,1103223341.667,247736063.5,303104633234.75,2799522614.333,8639673344.0,378803.478,243597.333,1167272.4,263506.286,0.0,65961986.5,9338.667,5244298.0
06:07:30,4532665.273,85728.714,0.0,4698941.5,11706007.75,1123307801744.727,92894488839.25,1796525039499.75,34836880.6,1103223341.667,277873201.75,340823214244.25,2811861555.667,8639927296.0,427565.696,280548.333,1167272.4,290009.571,0.0,65961986.5,9274.667,5405897.286
06:17:30,4594882.273,94301.571,0.0,5117787.1,12749482.5,1234166464354.182,102982756624.75,1976183100414.75,50134612.2,1103223341.667,308382216.25,377908321071.5,4168434004.667,8640685568.0,475811.348,317406.333,1167272.4,315953.857,0.0,65961986.5,9354.667,5575251.333
06:27:30,4673852.455,102874.714,0.0,5539355.1,13799770.5,1345105507028.909,113134630076.75,2155841426354.0,65485961.2,1103223341.667,339409957.0,415096195008.5,4180735680.333,8640871680.0,510727.217,353275.0,1167272.4,341867.286,0.0,65961986.5,9370.333,5743168.714
06:37:31,4745377.727,111447.714,0.0,5957901.3,14842555.25,1456015422738.636,122575280110.0,2335500369170.0,80855709.4,1103223341.667,370550403.75,449048574765.75,4193045235.0,8640730368.0,549095.217,385486.0,1167272.4,368749.857,0.0,65961986.5,9354.333,5902933.571
06:47:31,4815039.727,120020.714,0.0,6375501.9,15882977.0,1566770251033.454,131971339946.5,2515161109263.5,96568621.8,1103223341.667,402478556.25,482296230025.25,4205335468.667,8641730816.0,600848.826,420180.0,1167272.4,396108.714,0.0,65961986.5,9338.333,6069008.048
06:57:31,4880604.182,128593.857,0.0,6796208.7,16931124.25,1677640128114.364,141942553424.5,2694821899187.0,112647109.6,1103223341.667,434120477.5,517818818842.0,4217614533.667,8641817856.0,631411.478,455653.667,1167272.4,422530.429,0.0,65961986.5,9306.333,6248680.762
07:07:31,5028475.727,137166.857,0.0,7212788.7,17969002.25,1789387165441.909,151644023443.25,2874486100103.25,128932841.8,1103223341.667,467104500.75,553023816008.0,4229904223.333,8642196480.0,683942.696,496335.0,1167272.4,449025.571,0.0,65961986.5,9326.333,6525061.0
07:17:31,5257153.909,145740.0,0.0,7639666.7,19032481.75,1901146413759.273,160610306178.25,3054146343196.25,144724928.8,1103223341.667,498999932.5,586888741554.75,4242213186.667,8643328256.0,732955.522,533675.0,1167272.4,475759.571,0.0,65961986.5,9361.0,6885760.333
