Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),Running average power limit,Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
00:03:17,18579940.636,603565.857,0.0,8004300576239.6,19993291591737.5,285809601111664.4,284380068943187.25,290872192063426.0,225548526174780.4,94034058158354.0,212495804517159.0,25758236511321.754,38680609777.0,8665866240.0,4001360.826,37717.675,2140180.333,2364990.857,0.0,65961986.5,8888.667,21747873.619
00:13:17,18756118.545,612137.143,0.0,8117903748185.6,20277051627714.754,286036663961895.94,284531020416459.5,291367546406849.25,225567586637355.4,94044203826574.17,212568164580979.5,26184593905317.754,38714270231.0,8674669312.0,4064183.304,41445.301,2283613.333,2431963.143,0.0,65961986.5,8784.667,22069509.048
00:23:18,18833236.455,620708.143,0.0,8232579332708.9,20563490277106.5,286265984000999.94,284684142947710.5,291861730257421.75,225587107683866.4,94052100322950.83,212641800787015.5,26615065061584.5,40092470233.333,8667894272.0,4112035.087,41445.301,2308866.0,2463585.857,0.0,65961986.5,8848.667,22182238.952
00:33:18,18967718.0,629279.429,0.0,8347115022478.9,20849579305227.246,286495383152472.44,284837121392093.0,292355288273064.25,225606603831471.2,94059402396077.33,212715355890379.0,27044874016604.754,41470654795.333,8668040448.0,4163056.13,41445.301,2336926.667,2496137.143,0.0,65961986.5,8863.667,22354824.143
00:43:18,19041479.0,637850.857,0.0,8461869081658.7,21136213938218.246,286724695194753.75,284990392449395.75,292848969280736.75,225626149108244.8,94067712148053.83,212789051821168.5,27475515691601.754,41504581367.333,8668079104.0,4205528.87,41445.301,2345091.0,2526195.857,0.0,65961986.5,8848.0,22449341.238
00:53:18,19150630.273,646422.0,0.0,8573106683366.0,21414065488106.246,286955366860535.94,285138497467360.5,293341200753824.0,225645055429240.8,94078788527332.83,212860439084545.75,27893270748951.754,41538284004.333,8668164864.0,4272695.391,41445.301,2355248.333,2555324.857,0.0,65961986.5,8864.667,22580652.381
01:03:18,20237894.636,654993.286,0.0,8682009430816.2,21686084585872.0,287186834108477.0,285283430497518.25,293832391794554.5,225663598795189.6,94085140510538.5,212930436437105.0,28303165964111.5,41571846395.333,8668279552.0,4327253.0,41445.301,2373257.333,2599508.143,0.0,65961986.5,8880.667,23663469.857
01:13:18,21555710.545,663564.429,0.0,8791758260658.3,21960217051823.5,287417948206859.2,285429487395007.25,294324560533247.75,225682228702006.2,94092488639863.33,213000871464363.25,28715302216718.5,42949716347.0,8668269056.0,4362550.783,41445.301,2397961.0,2628368.857,0.0,65961986.5,8848.667,24926192.381
12:19:01,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8573254400.0,0.0,0.0,0.0,1140.714,0.0,0.5,6431.333,0.0
12:29:01,3777228.273,8571.0,0.0,112214930715.3,280292851880.0,225262845999.545,151600879284.0,493192879306.25,18714013150.0,19217786072.333,72632724274.75,423598853959.75,33673421.667,8664474112.0,784463.391,7849.369,159989.667,66817.857,0.0,65961986.5,8629.333,3960115.095
