Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),intel_hsw_cbo,intel_hsw_hau,intel_hsw_imc,intel_hsw_pcu,intel_hsw_qpi,intel_hsw_r2pci,intel_rapl,Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
17:58:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9440942464.0,0.0,0.0,0.0,272.0,0.0,0.0,28276.0,0.0
18:08:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9440942464.0,0.0,0.0,0.0,272.0,0.0,0.0,28276.0,0.0
18:18:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9440942464.0,0.0,0.0,0.0,272.0,0.0,0.0,28276.0,0.0
18:28:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9440942464.0,0.0,0.0,0.0,272.0,0.0,0.0,28276.0,0.0
18:38:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9440942464.0,0.0,0.0,0.0,272.0,0.0,0.0,28276.0,0.0
18:48:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9440942464.0,0.0,0.0,0.0,272.0,0.0,0.0,28276.0,0.0
18:58:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9440942464.0,0.0,0.0,0.0,272.0,0.0,0.0,28276.0,0.0
19:08:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9440942464.0,0.0,0.0,0.0,272.0,0.0,0.0,28276.0,0.0
19:18:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9440942464.0,0.0,0.0,0.0,272.0,0.0,0.0,28276.0,0.0
19:28:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9440942464.0,0.0,0.0,0.0,272.0,0.0,0.0,28276.0,0.0
17:58:40,165194.75,8565.458333333334,62333.0,471476281.0,1177997365.0,139442528670.70834,72892148551.5,454802908536.5,14109594596.75,58162592191.5,26362830000.75,310435224473.0,24352874.5,12149237632.0,40153904.4,22.4,2436692.5,683038.0,0.0,0.0,39921.0,1761263.0
18:08:40,165194.75,8565.458333333334,62333.0,471476281.0,1177997365.0,139442528670.70834,72892148551.5,454802908536.5,14109594596.75,58162592191.5,26362830000.75,310435224473.0,24352874.5,12149237632.0,40153904.4,22.4,2436692.5,683038.0,0.0,0.0,39921.0,1761263.0
18:18:40,165194.75,8565.458333333334,62333.0,471476281.0,1177997365.0,139442528670.70834,72892148551.5,454802908536.5,14109594596.75,58162592191.5,26362830000.75,310435224473.0,24352874.5,12149237632.0,40153904.4,22.4,2436692.5,683038.0,0.0,0.0,39921.0,1761263.0
18:28:40,165194.75,8565.458333333334,62333.0,471476281.0,1177997365.0,139442528670.70834,72892148551.5,454802908536.5,14109594596.75,58162592191.5,26362830000.75,310435224473.0,24352874.5,12149237632.0,40153904.4,22.4,2436692.5,683038.0,0.0,0.0,39921.0,1761263.0
