Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),Running average power limit,Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
07:04:19,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8573247488.0,0.0,0.0,0.0,141.429,0.0,0.5,6022.667,0.0
07:14:19,1284093.545,8671.714,328803.176,563355.3,1401752.5,35493114.364,7571693.5,184039710299.25,13370958.6,255321017276.833,6164774.75,76253055.75,7426010.667,8573870592.0,44473.348,0.0,14075.667,29157.286,0.0,0.5,6471.667,1294237.0
07:24:19,1543316.909,17244.286,627712.647,1075071.9,2675541.0,70224681.636,15961072.0,363992759965.0,25303465.8,507548418298.667,11952503.0,149335751.25,14731849.333,8573840640.0,88922.609,0.0,27835.667,57023.857,0.0,0.5,6490.0,1654256.714
07:34:19,2096372.0,25814.714,937987.529,1606385.7,3998003.75,104612817.636,23327806.0,543911945776.5,25934051.6,759785343357.5,17790695.75,226940512.5,22000747.333,8574894336.0,135086.348,8.059257119581843e+17,42436.667,85399.714,0.0,0.5,6544.0,2307052.381
07:44:19,2189124.455,34385.0,1236497.588,2117419.1,5270076.0,138938855.273,30333535.25,723612815278.25,26523446.8,1012056061621.0,23490090.25,296618232.0,29279090.667,8574864896.0,174987.174,8.059257119581843e+17,55407.333,112668.0,0.0,0.5,6560.0,2416607.762
07:54:19,2280016.182,42955.0,1533579.059,2625989.7,6536022.25,173575373.182,37330574.5,903548771865.0,27103891.2,1264348056082.833,29260894.75,364758375.75,36555682.333,8574890240.0,212430.696,8.059257119581843e+17,68575.667,139865.429,0.0,0.5,6556.667,2534200.19
08:04:19,2365330.909,51525.0,1826009.353,3126523.9,7782053.25,219744914.273,44697781.0,1083771824943.25,27722925.4,1516489544669.667,35060534.0,436847684.0,43832033.667,8574911488.0,265217.391,8.059257119581843e+17,82181.333,167492.429,0.0,0.5,6609.0,2658406.714
08:14:19,2453615.0,60095.429,2122177.0,3633505.5,9044100.25,253949552.727,51701474.25,1264324286710.25,28315836.0,1768712978504.0,40696424.75,510158735.5,51114250.667,8574977536.0,298764.348,8.059257119581843e+17,96460.667,194684.286,0.0,0.5,6577.333,2783181.381
08:24:19,2554933.636,68665.571,2448018.765,4191703.3,10433177.75,288244770.818,58702470.75,1444151675276.25,28888880.4,2020988789122.0,46252220.75,585177096.25,58377210.0,8575252224.0,332873.522,8.059257119581843e+17,109153.667,222821.857,0.0,0.5,6589.0,2900632.476
08:34:19,2815637.636,77235.571,2742250.647,4695348.5,11686906.5,322681521.091,66448737.0,1624626981729.0,29567498.6,2273087097429.0,52661108.0,669277630.0,1409926272.333,8575036928.0,377719.783,3.581892053147494e+17,132350.333,251342.0,0.0,0.5,6583.333,3171234.333
08:44:19,2905783.364,85806.0,3029681.235,5187231.9,12911584.5,356595313.273,73689630.5,1804463184282.5,30141326.6,2525260604554.166,58058728.5,746640917.25,1417202511.333,8575033088.0,418049.391,3.581892053147494e+17,144668.0,278500.714,0.0,0.5,6599.333,3278648.714
08:54:19,3012318.545,94376.0,3321962.412,5687496.5,14156991.75,391966084.818,80913756.0,1984557742328.25,37635910.2,2777417596065.0,63664875.5,824526210.75,1424494563.667,8575238656.0,462938.957,3.581892053147494e+17,158250.333,306087.429,0.0,0.5,6621.667,3400343.0
