Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
07:04:19,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8571224064.0,0.0,0.0,0.0,1118485.867,139.571,0.0,0.5,6070.667,0.0
07:14:19,1158971.909,8672.714,316678.529,542379.5,1349919.5,68238619.818,6329223.25,182530103109.25,13408807.2,255033697625.667,6918219.75,72366241.5,8572904704.0,48212.87,0.0,15626.667,1118485.867,28458.571,0.0,0.5,6505.667,1272729.857
07:24:19,1520245.273,17244.857,609959.647,1044370.1,2599674.0,134082508.364,12784057.5,362759969483.25,26532741.8,506965054995.5,12790733.25,144273453.75,8573457408.0,85881.435,0.0,29089.333,1118485.867,55244.857,0.0,0.5,6572.0,1644220.571
07:34:19,2054664.636,25815.429,916052.0,1568459.3,3904277.0,198437692.909,19056059.25,543444529359.0,27826345.4,757011051330.0,19244551.0,213835716.75,8574379264.0,131890.174,8.954730132868714e+17,44118.0,1118485.867,81947.143,0.0,0.5,6610.0,2268449.381
07:44:19,2129172.364,34385.286,1206809.647,2066091.5,5143239.25,263814699.545,25776335.0,723200299751.25,28358720.4,1009544760796.667,24674218.75,287277402.5,8574379264.0,175191.652,8.954730132868714e+17,56598.333,1118485.867,108658.143,0.0,0.5,6626.0,2363714.81
07:54:19,2209263.545,42955.286,1496971.706,2562703.3,6379638.5,329461912.818,32416545.75,903977100437.25,28897424.4,1261982568278.0,30130398.5,361491080.75,8574548992.0,212404.87,8.954730132868714e+17,69898.333,1118485.867,135019.286,0.0,0.5,6573.667,2467890.714
08:04:19,2288611.364,51524.857,1781783.529,3050064.9,7593125.75,397081994.0,39133423.25,1084043925360.0,29523517.8,1513992177939.167,36462768.75,437429341.5,8574395392.0,261929.0,9.850203146155585e+17,84198.333,1118485.867,162077.571,0.0,0.5,6579.0,2588240.381
08:14:19,2378760.818,60095.143,2072373.176,3547412.7,8831363.0,464118065.364,45651578.75,1264548780679.5,30057094.2,1765563040799.667,42207965.75,510041751.0,8574446848.0,299212.174,9.850203146155585e+17,98041.667,1118485.867,188387.429,0.0,0.5,6643.333,2706006.762
08:24:19,2466680.364,68665.286,2388295.0,4088462.3,10178080.5,530261275.091,52571806.25,1444881336133.25,30624688.2,2017901220131.667,48066239.5,587550412.25,8574608640.0,346737.826,9.850203146155585e+17,110852.667,1118485.867,216147.0,0.0,0.5,6575.0,2815754.81
08:34:19,2645838.091,77235.714,2674265.471,4577828.5,11396529.25,601621577.364,60024508.75,1625050870466.0,31277219.2,2269784007845.166,54502047.75,666363609.5,8574513152.0,394665.087,4.4773650664343654e+17,134226.0,1118485.867,243716.571,0.0,0.5,6601.0,3082591.048
08:44:19,2720715.909,85805.571,2959841.706,5066522.7,12613297.25,668419171.727,67041154.0,1805730309004.25,31834368.0,2521875009410.834,60055920.25,736869730.0,8574533120.0,438389.13,4.4773650664343654e+17,147340.333,1118485.867,270615.571,0.0,0.5,6601.0,3181615.048
08:54:19,2809371.455,94375.714,3245466.529,5555285.1,13830278.25,734051098.818,74120625.75,1985535758067.25,37332163.4,2774188073178.334,65716520.0,809560655.0,8574929664.0,476069.13,4.4773650664343654e+17,160708.333,1118485.867,297620.0,0.0,0.5,6577.0,3296403.857
09:04:19,2943098.0,102945.571,3539670.0,6058787.3,15083863.5,804298626.091,81220319.0,2166232940317.25,50638183.8,3025968909123.166,72926795.25,891955181.75,8574824448.0,543125.217,1.0745676159442458e+18,178225.667,1118485.867,325248.714,0.0,0.5,6612.333,3462363.81
