Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),intel_rapl,Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
00:01:12,12376635.364,754319.571,40775.882,40280226.0,100375876.25,22226642309919.363,13166262312911.25,39363023948027.0,2211500623258.2,6236843062471.333,5957970352897.75,35304000941751.5,51536963112.0,8658365696.0,4763622.304,0.0,4201476.667,101662.333,2614988.571,0.0,65961986.5,30456.0,34376126.714
00:11:12,12442941.727,762891.714,41221.176,40693734.8,101406135.75,22480417547588.637,13315241244513.75,39815922629751.75,2236300586783.0,6304786404196.667,6025578710404.75,35704715603922.0,51572709249.667,8680429056.0,4801337.478,0.0,4226832.0,101662.333,2643837.857,0.0,65961986.5,30551.0,34672132.81
00:21:12,12519310.455,771463.286,41663.529,41106811.8,102435309.25,22733584520667.0,13465116952055.5,40269005898002.0,2261201070532.4,6372268041950.333,6093129889420.5,36106354672662.0,51608456045.667,8680590336.0,4849462.957,0.0,4252198.333,101662.333,2672685.286,0.0,65961986.5,30550.0,34987861.048
00:31:12,12591209.818,780035.714,42105.765,41520802.6,103466778.75,22987332635371.0,13614694413120.0,40721713366922.0,2286141812991.4,6440085828670.833,6160665664174.25,36507754261523.51,52988456909.333,8680992000.0,4897727.957,0.0,4301664.0,101662.333,2702021.714,0.0,65961986.5,30632.333,35343215.905
00:41:12,12664227.182,788607.429,42548.412,41932812.6,104493306.25,23241011391070.91,13763834381950.0,41172575563846.0,2311150737306.2,6509086901826.667,6228255284140.25,36909119560979.51,53024208854.333,8681189376.0,4938104.348,0.0,4343687.0,101662.333,2730775.286,0.0,65961986.5,30614.0,35625672.095
00:51:12,12735008.273,797178.714,42996.765,42348969.6,105530105.0,23493266438734.816,13914106501959.75,41623071486504.25,2336108005218.6,6579010978477.833,6295761927923.25,37309990649763.75,53059980764.667,8681988096.0,4982351.696,0.0,4387426.0,101662.333,2757623.0,0.0,65961986.5,30583.0,35927162.143
01:01:12,12820693.182,805750.571,43461.176,42769771.6,106578410.25,23745513835038.273,14064715797803.25,42072506077539.75,2361174467495.8,6649164417277.0,6363357912481.75,37711196212940.25,55784310858.333,8682984960.0,5028371.478,0.0,4429131.333,101662.333,2785255.143,0.0,65961986.5,30600.333,36251304.905
01:11:13,12901908.909,814322.714,43915.118,43185863.6,107615034.25,23998521710421.273,14213170320855.25,42518569942565.51,2386175253080.4,6721884563916.833,6430854257332.0,38112071344426.49,55820102825.333,8682180608.0,5065889.391,0.0,4473271.0,101662.333,2812916.571,0.0,65961986.5,30583.0,36557338.143
01:21:13,12984614.091,822894.714,44390.176,43609733.8,108670898.5,24251473223953.184,14362908138221.25,42965576251903.0,2411252830033.0,6794105994447.833,6498453693037.5,38513589718175.75,55855905536.0,8683100416.0,5103748.826,0.0,4513279.333,101662.333,2841909.857,0.0,65961986.5,30599.0,36847377.667
01:31:13,13060242.182,831466.571,44842.294,44035503.2,109731567.5,24504199870754.09,14513073228529.25,43412904366503.75,2436301183515.4,6866062456197.833,6565988510342.75,38914589134851.75,55891706279.333,8682817024.0,5165601.087,0.0,4568420.667,101662.333,2871420.143,0.0,65961986.5,30584.333,37214247.619
01:41:13,13134005.818,840038.571,45303.765,44454369.6,110775052.5,24756722245630.09,14662648917307.75,43859561894779.75,2461354857688.8,6938590511368.5,6633526148277.0,39315637823493.51,57271771632.333,8684340480.0,5215475.217,0.0,4610373.0,101662.333,2899708.286,0.0,65961986.5,30599.0,37506420.048
01:51:13,13204784.909,848610.286,45764.176,44872103.6,111815728.0,25008923917580.273,14812726096341.25,44306286338440.49,2486473004055.6,7010885062756.0,6701095036435.5,39716662727695.0,57307553346.0,8684444160.0,5263067.13,0.0,4654158.333,101662.333,2928925.857,0.0,65961986.5,30615.0,37810023.476
02:01:13,13295677.182,857182.143,46221.294,45291954.2,112861696.75,25261282109763.184,14962606078337.5,44752956764884.0,2511523154197.6,7082939167470.333,6768602186263.75,40117539270042.75,57343337253.667,8685197056.0,5305622.826,0.0,4694342.667,101662.333,2956974.571,0.0,65961986.5,30632.333,38139730.571
02:11:13,13372792.909,865754.0,46680.941,45711727.8,113907435.5,25513662754829.816,15112149602750.25,45199587528102.25,2536548058851.2,7155241995105.667,6836133802288.25,40518549041958.0,58723403815.333,8685584640.0,5346086.609,0.0,4719925.333,101662.333,2985476.0,0.0,65961986.5,30582.0,38447290.476
02:21:13,13451392.727,874326.286,47138.0,46131043.8,114952041.5,25766087784091.816,15261774478902.0,45646467101912.25,2561594240875.6,7227467249357.167,6903656982033.0,40919583936740.0,60103471474.333,8685908736.0,5390312.043,0.0,4750374.0,101662.333,3014337.286,0.0,65961986.5,30582.0,38735202.667
02:31:13,13531108.182,882897.857,47584.059,46548237.0,115991446.5,26018568231019.91,15411533168428.75,46093144039597.75,2586652711181.8,7299932259063.667,6971151244775.75,41320383362585.25,60139249385.667,8686440704.0,5435159.13,0.0,4798322.0,101662.333,3044435.429,0.0,65961986.5,30567.333,39094872.476
02:41:14,13586615.182,891469.714,48031.294,46966510.6,117033499.25,26270745951423.184,15561987331841.75,46539112041653.25,2611771334032.4,7372210266142.0,7038739690509.75,41721595926389.75,60175030336.0,8686586368.0,5472570.217,0.0,4838305.0,101662.333,3073576.429,0.0,65961986.5,30582.0,39375564.0
02:51:14,13641373.364,900042.0,48497.824,47392040.0,118093496.5,26522939538111.09,15713420759773.0,46985425783976.49,2636899135338.0,7443801062835.333,7106294517284.75,42122612494922.75,61555077142.667,8688127744.0,5520294.217,0.0,4880639.0,101662.333,3103322.143,0.0,65961986.5,30567.667,39671086.762
03:01:14,13696133.909,908614.0,48956.824,47818250.8,119155247.0,26775214309248.727,15865258451083.75,47431875893188.25,2662013244614.8,7515520134962.167,7173889818489.5,42523927920639.75,61590857892.333,8687487744.0,5566389.0,0.0,4922459.333,101662.333,3131767.429,0.0,65961986.5,30602.0,39988246.095
03:11:14,13750522.273,917185.714,49413.235,48238173.0,120201368.75,27027463051947.184,16017893186856.5,47884323328875.51,2687209403872.0,7584468093075.333,7241614165384.75,42925851159839.25,61626637619.667,8688868096.0,5610603.957,0.0,4966549.333,101662.333,3157993.714,0.0,65961986.5,30583.667,40287937.81
03:21:14,13808638.545,925757.571,49870.235,48655892.4,121242019.75,27279621738567.184,16170557188224.0,48338935508270.0,2712396434767.8,7652158944208.667,7309369029877.75,43327867400279.51,63006707845.0,8689148416.0,5661539.565,0.0,5006784.333,101662.333,3185868.714,0.0,65961986.5,30599.667,40564656.81
03:31:14,13867880.182,934329.571,50329.706,49076798.0,122290594.25,27531881411738.273,16322969926289.0,48793712644152.0,2737623122534.6,7719629781486.167,7377149191590.0,43729855892760.49,64386772498.0,8689731328.0,5704069.217,0.0,5050492.667,101662.333,3212606.714,0.0,65961986.5,30554.667,40903588.857
03:41:14,13924137.727,942901.571,50774.176,49490762.8,123321965.75,27784216328877.637,16475310304245.75,49248357009677.75,2762842345229.2,7787130909026.333,7444935346003.75,44131968991915.51,64422555241.0,8690679296.0,5744614.565,0.0,5092121.0,101662.333,3239214.714,0.0,65961986.5,30584.333,41183026.905
03:51:15,13977409.455,951473.571,51228.353,49908854.2,124363544.25,28036531272007.184,16627681735691.0,49702938566493.0,2788044699836.2,7854849617552.167,7512722832838.5,44534048262983.75,64458341695.667,8690114304.0,5788802.174,0.0,5135954.667,101662.333,3266806.286,0.0,65961986.5,30585.333,41483209.286
04:01:15,14032915.818,960045.571,51684.824,50330827.2,125414778.5,28288649317643.91,16780766012623.25,50157302267535.0,2813270050861.4,7922605391573.5,7580532531588.25,44936222160996.0,64494137356.667,8691069952.0,5831854.348,0.0,5177613.667,101662.333,3294804.857,0.0,65961986.5,30602.667,41800803.762
